dateandtime,spdK/m,edge,vehDen
2022-12-16 4:2:0,41.77322572224569,890774197#1-AddedOnRampEdge,26
2022-12-16 4:2:0,40.701402318573074,859375457#0,26
2022-12-16 4:2:0,53.75640388520842,52244427#10,26
2022-12-16 4:2:0,46.30502036553442,32690553#2,26
2022-12-16 4:2:0,58.693107519956776,700074885#5,26
2022-12-16 4:2:0,53.975686275520026,819585395#8,26
2022-12-16 4:2:0,44.797676544600385,26195270#6-AddedOffRampEdge,26
2022-12-16 4:2:0,39.17210267367407,772236620#15,26
2022-12-16 4:2:0,56.65797756817527,25584530#4,26
2022-12-16 4:2:0,29.921066692956764,:cluster_7937296083_8074011466_8074011468_6,26
2022-12-16 4:2:0,35.1038031040371,284147370#4,26
2022-12-16 4:2:0,58.53167915579523,-37796191#2,26
2022-12-16 4:2:0,42.694296552969085,858935302,26
2022-12-16 4:2:0,48.542740228796305,564555056#7,26
2022-12-16 4:2:0,57.26826225237818,859375452,26
2022-12-16 4:2:0,56.02844822370316,700074885#17,26
2022-12-16 4:2:0,43.036334790077184,765656381#3,26
2022-12-16 4:2:0,49.587076496754584,:2349727143_0,26
2022-12-16 4:2:0,30.9117242482113,-564642358#0,26
2022-12-16 4:2:0,42.14995350975551,700675428,26
2022-12-16 4:2:0,50.09060434849223,28582639#7-AddedOffRampEdge,26
2022-12-16 4:2:0,47.71834123446576,393878336#0,26
2022-12-16 4:2:0,48.2143697677458,885948880#6,26
2022-12-16 4:2:0,47.622271564441284,858935302,26
2022-12-16 4:2:0,47.12972718022496,765656381#3,26
2022-12-16 4:2:0,47.348298595749206,:543376979_1,26
2022-12-16 4:3:0,40.69384010015286,699863679#2,24
2022-12-16 4:3:0,51.82074088035559,885610134#4,24
2022-12-16 4:3:0,46.85504258226238,:278876437_1,24
2022-12-16 4:3:0,44.29635121851151,:315025479_0,24
2022-12-16 4:3:0,59.01234743149626,700074885#21,24
2022-12-16 4:3:0,47.48427664988374,-26253870#0,24
2022-12-16 4:3:0,47.70533723267842,858915972#1,24
2022-12-16 4:3:0,42.08628723880841,772236620#21-AddedOffRampEdge,24
2022-12-16 4:3:0,54.15354439298026,32690567#17,24
2022-12-16 4:3:0,35.4370966853254,307882386#0,24
2022-12-16 4:3:0,43.94849163080747,652130052,24
2022-12-16 4:3:0,49.25363483821593,850927453#2,24
2022-12-16 4:3:0,57.6155948106096,819221586#2,24
2022-12-16 4:3:0,54.88724809624123,32690553#2,24
2022-12-16 4:3:0,45.37935398294789,694211551#1,24
2022-12-16 4:3:0,49.00398471236489,669890462#15-AddedOffRampEdge,24
2022-12-16 4:3:0,50.681115414198125,701104139#6-AddedOffRampEdge,24
2022-12-16 4:3:0,18.549794227523467,37718130#2,24
2022-12-16 4:3:0,39.79821045804777,701104139#6-AddedOffRampEdge,24
2022-12-16 4:3:0,49.93921470284683,28582639#13,24
2022-12-16 4:3:0,47.83484087120712,770590111#2,24
2022-12-16 4:3:0,50.131084164433666,652130052,24
2022-12-16 4:3:0,49.656951582179914,772236620#3,24
2022-12-16 4:3:0,28.04449377379115,:cluster_278875145_367195672_367207712_367212487_0,24
2022-12-16 4:4:0,55.106812229654174,819202035,19
2022-12-16 4:4:0,44.52218406407646,178336794#0,19
2022-12-16 4:4:0,45.75047614037625,37718131#0,19
2022-12-16 4:4:0,45.557552099394776,564577990#0,19
2022-12-16 4:4:0,59.68762453218597,28582639#7,19
2022-12-16 4:4:0,48.08325998725069,765656384#1,19
2022-12-16 4:4:0,48.04588079718988,:8285673802_0,19
2022-12-16 4:4:0,39.49388453213132,939250978#1-AddedOnRampEdge,19
2022-12-16 4:4:0,54.4834063542109,700673538,19
2022-12-16 4:4:0,34.873740247269765,52244427#0,19
2022-12-16 4:4:0,58.3319059998622,669890462#15,19
2022-12-16 4:4:0,33.60960826004275,675093183#3,19
2022-12-16 4:4:0,51.721411710728695,37099139#3,19
2022-12-16 4:4:0,51.80558838711642,29982808#3,19
2022-12-16 4:4:0,42.0162997364126,669890458#10-AddedOnRampEdge,19
2022-12-16 4:4:0,43.948355638301074,28582639#5,19
2022-12-16 4:4:0,49.99545453104161,885610134#4,19
2022-12-16 4:4:0,51.18937249944221,:6570524684_0,19
2022-12-16 4:4:0,49.12850497698369,:6479929448_0,19
2022-12-16 4:5:0,55.11340422819776,25584526#5,19
2022-12-16 4:5:0,45.250575375179935,699863679#2,19
2022-12-16 4:5:0,47.29225372988365,:6572827947_4,19
2022-12-16 4:5:0,43.42765513701287,850927453#4,19
2022-12-16 4:5:0,58.384789972562814,28566849#0,19
2022-12-16 4:5:0,46.6042539494082,858935302,19
2022-12-16 4:5:0,42.2616306009872,-670655027#0,19
2022-12-16 4:5:0,45.51586096603538,819585395#1-AddedOnRampEdge,19
2022-12-16 4:5:0,40.01737350311695,819585395#14-AddedOffRampEdge,19
2022-12-16 4:5:0,54.11577444051727,883292352#1,19
2022-12-16 4:5:0,44.608283970922976,32690567#3,19
2022-12-16 4:5:0,55.12792557784224,25746572#2,19
2022-12-16 4:5:0,46.21538668900927,699863679#2,19
2022-12-16 4:5:0,50.873072796450565,:2265599319_1,19
2022-12-16 4:5:0,43.85115955068393,939250966#14,19
2022-12-16 4:5:0,43.29837763017051,28582639#9,19
2022-12-16 4:5:0,48.158303341902496,819202035,19
2022-12-16 4:5:0,49.18320051900718,37711813#7,19
2022-12-16 4:5:0,47.06291844479698,37099917#6,19
2022-12-16 4:6:0,53.59530411474864,940974903#3,17
2022-12-16 4:6:0,47.37503193724453,894550194#3-AddedOffRampEdge,17
2022-12-16 4:6:0,47.850301494008,41336031#12,17
2022-12-16 4:6:0,44.70393241545108,32659807#1,17
