dateandtime,spdK/m,edge,vehDen
2022-12-18 23:2:0,45.45768245616353,765656381#3,56
2022-12-18 23:2:0,48.65163910366783,939250973,56
2022-12-18 23:2:0,49.39798870091804,850839746,56
2022-12-18 23:2:0,37.3618502618086,656524350,56
2022-12-18 23:2:0,48.11585818423199,700074885#23-AddedOffRampEdge,56
2022-12-18 23:2:0,47.68636959780301,26195744#8,56
2022-12-18 23:2:0,42.78581687204084,307882386#0,56
2022-12-18 23:2:0,45.48535380606289,-32690576#1,56
2022-12-18 23:2:0,55.324142347195796,671744652#5,56
2022-12-18 23:2:0,50.149399565757435,32691357#0,56
2022-12-18 23:2:0,45.894233131332506,:8318643218_1,56
2022-12-18 23:2:0,54.322603798926124,29982808#3,56
2022-12-18 23:2:0,41.28200654513508,25746572#4,56
2022-12-18 23:2:0,43.70964963553539,26520591#1,56
2022-12-18 23:2:0,40.18100384429334,-29982392#1,56
2022-12-18 23:2:0,43.007803741097554,52244427#10,56
2022-12-18 23:2:0,60.721208759963076,700673538,56
2022-12-18 23:2:0,27.37861571194233,:cluster_2349727148_6574844065_3,56
2022-12-18 23:2:0,44.625331722266,32226001#5,56
2022-12-18 23:2:0,48.55977739522711,26203214#3,56
2022-12-18 23:2:0,32.731022758425546,29982392#0,56
2022-12-18 23:2:0,55.737889494358065,772236620#3,56
2022-12-18 23:2:0,42.16914571412498,37711813#5,56
2022-12-18 23:2:0,44.17635917801857,700675428,56
2022-12-18 23:2:0,43.28336587333341,-651186611#3,56
2022-12-18 23:2:0,32.59306747111493,765656381#2,56
2022-12-18 23:2:0,45.73930326772951,858915973#1-AddedOnRampEdge,56
2022-12-18 23:2:0,48.25899071532301,:6568207663_0,56
2022-12-18 23:2:0,56.02479071294193,41336031#0-AddedOnRampEdge,56
2022-12-18 23:2:0,61.05001178714262,850927453#2-AddedOnRampEdge,56
2022-12-18 23:2:0,54.359134027147306,:cluster_276611155_367218275_0,56
2022-12-18 23:2:0,46.938922489155786,26520591#0,56
2022-12-18 23:2:0,53.70136908930977,564577984#2,56
2022-12-18 23:2:0,40.94409235704089,564555056#0,56
2022-12-18 23:2:0,53.118785295833334,765656384#5,56
2022-12-18 23:2:0,46.20628718780256,-363326180,56
2022-12-18 23:2:0,46.0926880388196,25584535#5,56
2022-12-18 23:2:0,45.27600261588662,765656381#3,56
2022-12-18 23:2:0,41.601943352920316,41336031#10,56
2022-12-18 23:2:0,51.456208682502734,:cluster_278875778_6574844055_7,56
2022-12-18 23:2:0,36.41943816687848,:6570524697_6,56
2022-12-18 23:2:0,46.137461975004804,940974903#3-AddedOnRampEdge,56
2022-12-18 23:2:0,54.97794745038244,700074885#11,56
2022-12-18 23:2:0,56.50060284070963,37789106,56
2022-12-18 23:2:0,48.188900755705696,700675428,56
2022-12-18 23:2:0,42.5425134190342,41336031#8,56
2022-12-18 23:2:0,46.58166328516263,772236620#10,56
2022-12-18 23:2:0,45.92798440231454,28582639#7,56
2022-12-18 23:2:0,34.30887836820817,32692680,56
2022-12-18 23:2:0,40.511407455634256,215629009#1,56
2022-12-18 23:2:0,51.98305029624372,41336031#4,56
2022-12-18 23:2:0,40.26645313210292,701104139#6-AddedOffRampEdge,56
2022-12-18 23:2:0,34.3150671040786,25584525#14,56
2022-12-18 23:2:0,40.42796921172845,37711813#1,56
2022-12-18 23:2:0,47.042834510633824,765656384#1,56
2022-12-18 23:2:0,46.500021853300545,885610134#4,56
2022-12-18 23:3:0,44.46069608387894,694211551#1-AddedOnRampEdge,55
2022-12-18 23:3:0,38.17498500491421,37789102#16,55
2022-12-18 23:3:0,45.70011791153236,215628998#1,55
2022-12-18 23:3:0,47.096025681339746,28582639#7,55
2022-12-18 23:3:0,49.10887408735523,669890462#18,55
2022-12-18 23:3:0,43.68305175963334,700074885#0-AddedOnRampEdge,55
2022-12-18 23:3:0,45.644836804919024,26221563#0,55
2022-12-18 23:3:0,54.48632612326294,858935315,55
2022-12-18 23:3:0,45.72204740791414,41336031#12,55
2022-12-18 23:3:0,48.09785768083673,-215628990#2,55
2022-12-18 23:3:0,18.390970388219607,217280770#5,55
2022-12-18 23:3:0,42.25013280466265,859375452,55
2022-12-18 23:3:0,38.77276943064532,894550194#3,55
2022-12-18 23:3:0,46.92992702217432,:2251061711_0,55
2022-12-18 23:3:0,45.61535119673248,885610134#4,55
2022-12-18 23:3:0,61.70891414322661,883292352#1-AddedOffRampEdge,55
2022-12-18 23:3:0,42.67651067514745,32690567#18,55
2022-12-18 23:3:0,45.24584420533008,32659640#2,55
2022-12-18 23:3:0,50.85576485927694,700675428,55
2022-12-18 23:3:0,55.686382486636255,772236620#14,55
2022-12-18 23:3:0,41.67078463138672,958778139#0-AddedOnRampEdge,55
2022-12-18 23:3:0,41.51469135225266,-25584591#0,55
2022-12-18 23:3:0,46.1136983267592,765656384#1,55
2022-12-18 23:3:0,45.569737013104415,858935315,55
2022-12-18 23:3:0,38.56113587264943,-699921225,55
2022-12-18 23:3:0,48.41192591815232,699651628#1-AddedOffRampEdge,55
2022-12-18 23:3:0,50.09922393062618,700074885#19,55
2022-12-18 23:3:0,7.72594913577906,307879614#0,55
2022-12-18 23:3:0,60.32448807716186,564577984#2,55
2022-12-18 23:3:0,46.3637520916767,564555056#0-AddedOffRampEdge,55
2022-12-18 23:3:0,49.652185351601936,25746572#6,55
2022-12-18 23:3:0,56.262730635872536,700074885#23-AddedOffRampEdge,55
2022-12-18 23:3:0,46.51484434975214,37099917#2,55
2022-12-18 23:3:0,47.21144105365979,669890462#15,55
2022-12-18 23:3:0,36.970868632221986,32690591#1,55
2022-12-18 23:3:0,40.918030209317166,690635100#1,55
2022-12-18 23:3:0,52.346361016276006,51799432#2,55
2022-12-18 23:3:0,48.67226788727305,-26203057,55
2022-12-18 23:3:0,46.53435526395853,-35583850#0,55
2022-12-18 23:3:0,55.12240189706268,38449284,55
2022-12-18 23:3:0,48.90690548120664,700673538,55
2022-12-18 23:3:0,51.62253998741881,-699695781#0,55
2022-12-18 23:3:0,41.92146450363869,:6479606083_0,55
2022-12-18 23:3:0,46.0537611898541,:6175373516_0,55
2022-12-18 23:3:0,47.08604084567611,:6574844072_6,55
2022-12-18 23:3:0,39.483056147023966,:456348664_0,55
2022-12-18 23:3:0,55.4929251774796,:8871363611_0,55
2022-12-18 23:3:0,47.64235530394229,26729390#0,55
2022-12-18 23:3:0,5.783182658320293,-25584636,55
2022-12-18 23:3:0,39.772808265653154,29982808#3-AddedOnRampEdge,55
2022-12-18 23:3:0,40.808655120307535,939250966#10,55
2022-12-18 23:3:0,44.36685015911575,858935309,55
2022-12-18 23:3:0,42.020622732031306,25584650#1,55
