dateandtime,spdK/m,edge,vehDen
2022-12-13 18:2:0,40.14890021075732,52244427#7,568
2022-12-13 18:2:0,37.69628360495689,-652088553#16,568
2022-12-13 18:2:0,21.411869872482608,:6570524676_1,568
2022-12-13 18:2:0,39.9377941205687,29982808#5,568
2022-12-13 18:2:0,0.0,-26253996#1,568
2022-12-13 18:2:0,56.07148670998885,939250970,568
2022-12-13 18:2:0,44.167069135285196,700084841#3,568
2022-12-13 18:2:0,51.06715941192869,52244427#7,568
2022-12-13 18:2:0,51.564297461090725,28582639#7,568
2022-12-13 18:2:0,56.603056909045726,850927453#1-AddedOnRampEdge,568
2022-12-13 18:2:0,54.87748043071434,859375453,568
2022-12-13 18:2:0,45.801152511071656,939250973-AddedOffRampEdge,568
2022-12-13 18:2:0,43.87091158078601,700673538,568
2022-12-13 18:2:0,48.040271044353744,850927453#3-AddedOffRampEdge,568
2022-12-13 18:2:0,46.48669802305417,819202035,568
2022-12-13 18:2:0,45.42545413062309,:6274461824_1,568
2022-12-13 18:2:0,46.15657806647284,564555056#7,568
2022-12-13 18:2:0,50.18437470905802,940974901#0,568
2022-12-13 18:2:0,0.0,765656381#5,568
2022-12-13 18:2:0,48.78078578312458,25746544#3,568
2022-12-13 18:2:0,15.950704227704557,38550723#0,568
2022-12-13 18:2:0,42.992746817702525,41336031#4,568
2022-12-13 18:2:0,38.454789386474886,939250966#13,568
2022-12-13 18:2:0,37.33601725579941,859375453,568
2022-12-13 18:2:0,0.0,765656381#3,568
2022-12-13 18:2:0,39.24074960026514,885610134#4-AddedOffRampEdge,568
2022-12-13 18:2:0,46.60280106157883,28582639#5,568
2022-12-13 18:2:0,41.59892207310491,819585395#14-AddedOffRampEdge,568
2022-12-13 18:2:0,47.46516210485673,-217280773#2,568
2022-12-13 18:2:0,51.4818283006863,-26253962#5,568
2022-12-13 18:2:0,43.89438569641686,41336031#8,568
2022-12-13 18:2:0,44.2741046725798,699908743,568
2022-12-13 18:2:0,54.58960576936609,:894550194#3-AddedOffRampNode_0,568
2022-12-13 18:2:0,42.39958827314835,850927453#2-AddedOnRampEdge,568
2022-12-13 18:2:0,42.308864881090166,772236620#7,568
2022-12-13 18:2:0,49.61967315584198,26253959#2,568
2022-12-13 18:2:0,46.66527506586175,700074885#15,568
2022-12-13 18:2:0,47.1946958450903,:939250978#1-AddedOnRampNode_0,568
2022-12-13 18:2:0,44.433459047987405,939250966#7,568
2022-12-13 18:2:0,52.93057161307597,940974903#2,568
2022-12-13 18:2:0,42.56113003729369,-217280772#5,568
2022-12-13 18:2:0,43.17766252834925,:669890462#15-AddedOffRampNode_0,568
2022-12-13 18:2:0,45.72355770666546,:6572827930_3,568
2022-12-13 18:2:0,41.82557392696171,850927448,568
2022-12-13 18:2:0,56.25012538589537,:cluster_3675027604_6570524709_6,568
2022-12-13 18:2:0,28.967376151013625,38071248#0,568
