dateandtime,spdK/m,edge,vehDen
2022-12-16 9:2:0,22.06171558863594,819202035,728
2022-12-16 9:2:0,45.103064401526794,26195744#10,728
2022-12-16 9:2:0,52.40170122144332,819202034,728
2022-12-16 9:2:0,47.67151731032476,885839350#0,728
2022-12-16 9:2:0,41.59800012598752,885610134#3-AddedOnRampEdge,728
2022-12-16 9:2:0,41.49376140236078,888224699#1,728
2022-12-16 9:2:0,52.61265878593858,765656384#1,728
2022-12-16 9:2:0,47.28401277382837,26203176#0,728
2022-12-16 9:2:0,53.81524878874742,654745276#6,728
2022-12-16 9:2:0,43.57959899126759,24958252#0,728
2022-12-16 9:2:0,48.78756150384674,24958252#0,728
2022-12-16 9:2:0,46.53417242658587,669890462#11,728
2022-12-16 9:2:0,55.837149026858086,178336809#10,728
2022-12-16 9:2:0,0.0,765656381#5,728
2022-12-16 9:2:0,4.114921318169895,650705746,728
2022-12-16 9:2:0,42.446228975435446,859375448#4,728
2022-12-16 9:2:0,47.26314632564021,700074885#10,728
2022-12-16 9:2:0,38.736081377269734,32690553#6,728
2022-12-16 9:2:0,48.73122613041281,28582639#11,728
2022-12-16 9:2:0,44.91266541419082,:7937930785_0,728
2022-12-16 9:2:0,46.24256641778577,885610137,728
2022-12-16 9:2:0,38.66699144694632,52244427#0,728
2022-12-16 9:2:0,52.62677395061057,885839350#0-AddedOffRampEdge,728
2022-12-16 9:2:0,48.00574815779742,25584650#3,728
2022-12-16 9:2:0,48.54393614149046,52244427#10-AddedOffRampEdge,728
2022-12-16 9:2:0,46.78521228809694,29909499#4-AddedOnRampEdge,728
2022-12-16 9:2:0,37.17054798153842,859375452,728
2022-12-16 9:2:0,43.46796386045551,28641545#1,728
2022-12-16 9:2:0,46.56719210891676,858935302,728
2022-12-16 9:2:0,46.28960811774722,939250965#0,728
2022-12-16 9:2:0,41.361335401484915,52244427#0,728
2022-12-16 9:2:0,49.822330850276515,669890462#1,728
