dateandtime,spdK/m,edge,vehDen
2022-12-15 3:2:0,51.18164549855523,819202035,21
2022-12-15 3:2:0,52.02304069113015,858935309,21
2022-12-15 3:2:0,54.413903055806195,669890458#1,21
2022-12-15 3:2:0,51.517766665660055,32691561#4,21
2022-12-15 3:2:0,44.92731907085199,885610134#4,21
2022-12-15 3:2:0,51.932338092598826,-363326175#1,21
2022-12-15 3:2:0,46.79949511899613,:6580157423_6,21
2022-12-15 3:2:0,39.785043791988954,-37719479#0,21
2022-12-15 3:2:0,44.19524856128128,:315025479_0,21
2022-12-15 3:2:0,52.686713100466044,687586413,21
2022-12-15 3:2:0,46.04859409263133,770590111#2,21
2022-12-15 3:2:0,35.089281757062345,28582641#1,21
2022-12-15 3:2:0,42.752342294561956,:669890462#15-AddedOffRampNode_0,21
2022-12-15 3:2:0,46.35566807844159,858935315,21
2022-12-15 3:2:0,42.84516021699214,25746632#2,21
2022-12-15 3:2:0,28.126330792419612,650714381#0,21
2022-12-15 3:2:0,43.077925324653854,772236620#9,21
2022-12-15 3:2:0,46.08088038071435,772236620#21,21
2022-12-15 3:2:0,48.46635862565589,858935309,21
2022-12-15 3:2:0,24.674723105432335,:cluster_280771664_442349882_13,21
2022-12-15 3:2:0,56.02212428253736,669890458#3,21
2022-12-15 3:3:0,51.47762961346664,939250965#0,17
2022-12-15 3:3:0,48.74096161926193,26729412#1,17
2022-12-15 3:3:0,51.531912825793235,25746577#5,17
2022-12-15 3:3:0,49.77903855025976,37711813#3,17
2022-12-15 3:3:0,47.96946039877515,819202035,17
2022-12-15 3:3:0,39.0689415854657,:6579942669_0,17
2022-12-15 3:3:0,54.930841738536714,41336031#10,17
2022-12-15 3:3:0,40.0748506238033,940974905#1,17
2022-12-15 3:3:0,44.404559007895685,669890458#1-AddedOnRampEdge,17
2022-12-15 3:3:0,37.31576896443751,28582639#13,17
2022-12-15 3:3:0,53.54646093063136,772236620#6,17
2022-12-15 3:3:0,42.090111218688584,32690567#13,17
2022-12-15 3:3:0,44.27843879866908,25746572#2,17
2022-12-15 3:3:0,34.79352607373776,:cluster_2349727150_6574844066_3,17
2022-12-15 3:3:0,47.20707983712133,858935302,17
2022-12-15 3:3:0,42.99484059208037,32691832#6,17
2022-12-15 3:3:0,47.2915594250894,765656381#3,17
2022-12-15 3:4:0,49.57122138279498,654745276#5,13
2022-12-15 3:4:0,51.77028163378175,701104139#4,13
2022-12-15 3:4:0,20.862330541965385,-670655026,13
2022-12-15 3:4:0,45.62104056682121,939250973,13
2022-12-15 3:4:0,47.132806444439254,32691782#1,13
2022-12-15 3:4:0,49.10196037145956,26195753#4,13
2022-12-15 3:4:0,42.22409483280042,41336031#4,13
2022-12-15 3:4:0,36.424961357747875,:939250966#10-AddedOnRampNode_0,13
2022-12-15 3:4:0,51.84009922905904,363326171#0,13
2022-12-15 3:4:0,43.340909909154576,25746572#6,13
2022-12-15 3:4:0,46.46399216914948,652130052,13
2022-12-15 3:4:0,42.72745416018145,26253959#2,13
2022-12-15 3:4:0,36.3933829818539,:1927165533_10,13
2022-12-15 3:5:0,27.995548453866967,:cluster_284142560_492400840_8768432608_8768432610_3,12
2022-12-15 3:5:0,44.29822520870577,819585396,12
2022-12-15 3:5:0,49.86550175016989,32226001#7,12
2022-12-15 3:5:0,53.52012416586328,29982808#3-AddedOnRampEdge,12
2022-12-15 3:5:0,44.847079753090256,41336031#0-AddedOnRampEdge,12
2022-12-15 3:5:0,47.32835139272843,654745276#2,12
2022-12-15 3:5:0,41.08321459421897,41336031#8,12
2022-12-15 3:5:0,37.16442794648718,885948880#0,12
2022-12-15 3:5:0,52.068537588250685,26253962#6,12
2022-12-15 3:5:0,47.197552816611044,:6570524675_0,12
2022-12-15 3:5:0,42.653844867478696,858935315,12
2022-12-15 3:5:0,61.45754227533196,765656384#1,12
2022-12-15 3:6:0,54.91996643535891,37789107#1,16
2022-12-15 3:6:0,46.956910913094795,26195744#10,16
2022-12-15 3:6:0,49.4957070891223,32659640#2,16
2022-12-15 3:6:0,45.73722237048533,669890462#3,16
2022-12-15 3:6:0,47.81177456775924,669890462#15,16
2022-12-15 3:6:0,51.09619019151714,-217280772#5,16
2022-12-15 3:6:0,45.07340823998358,41336031#8,16
2022-12-15 3:6:0,48.11280273025964,858935315,16
2022-12-15 3:6:0,0.0,182371955#1,16
2022-12-15 3:6:0,41.920480319140566,-25746578#9,16
2022-12-15 3:6:0,37.399664298796765,26264286#3,16
2022-12-15 3:6:0,20.200359465900508,:cluster_367884781_6570524756_10,16
2022-12-15 3:6:0,39.22616967014001,671744652#5,16
2022-12-15 3:6:0,63.24134215985615,25584538#5,16
2022-12-15 3:6:0,43.66776060535857,363326175#1,16
2022-12-15 3:6:0,34.523138862170455,32691779#2,16
2022-12-15 3:7:0,51.45241292133094,307882386#1,15
2022-12-15 3:7:0,48.07443695334896,669890458#3,15
2022-12-15 3:7:0,24.537880742177364,215628990#2,15
2022-12-15 3:7:0,48.2303551648221,37789106,15
2022-12-15 3:7:0,45.02133187260341,669890462#13,15
2022-12-15 3:7:0,49.94837728896421,37099139#0,15
2022-12-15 3:7:0,45.84806450809967,41336031#12,15
2022-12-15 3:7:0,50.13945497268919,32690567#9,15
2022-12-15 3:7:0,42.29519572140594,765656384#1,15
2022-12-15 3:7:0,44.84211560065524,52244427#6,15
2022-12-15 3:7:0,45.61326359869363,-215628968#1,15
2022-12-15 3:7:0,40.45378243541309,:6574844043_6,15
2022-12-15 3:7:0,62.403064572002776,28582639#13,15
2022-12-15 3:7:0,42.05992135990696,:2349727149_0,15
2022-12-15 3:7:0,50.824614135967835,25584650#1,15
2022-12-15 3:8:0,41.72692824442256,940974902#0-AddedOffRampEdge,15
2022-12-15 3:8:0,51.23908347913162,38548953,15
2022-12-15 3:8:0,48.00712181387647,669890458#10,15
2022-12-15 3:8:0,51.218574055844314,850927457,15
2022-12-15 3:8:0,45.189378552891796,:6273610477_0,15
2022-12-15 3:8:0,16.832492694430563,-32659807#3,15
2022-12-15 3:8:0,40.98931868423653,858935302,15
2022-12-15 3:8:0,50.18072329758311,699691940#10,15
2022-12-15 3:8:0,46.41218136100696,52244427#10-AddedOffRampEdge,15
2022-12-15 3:8:0,47.12740490215109,-182371956#0,15
2022-12-15 3:8:0,51.5872015656299,26202694#2,15
2022-12-15 3:8:0,14.464795983955264,26253984#5,15
2022-12-15 3:8:0,42.017523813269165,858935315,15
2022-12-15 3:8:0,27.377392810920316,765656381#5,15
2022-12-15 3:8:0,53.5224472907002,671744652#2,15
2022-12-15 3:9:0,45.405102069129605,939250966#14,16
2022-12-15 3:9:0,39.33124980489015,885948880#3,16
2022-12-15 3:9:0,48.29399573086887,885839351#0,16
2022-12-15 3:9:0,30.55368255001434,-215628990#0,16
2022-12-15 3:9:0,43.282368966638494,652130052,16
2022-12-15 3:9:0,49.94850064523162,-25746624#1,16
2022-12-15 3:9:0,45.928024979686754,885610134#4-AddedOffRampEdge,16
2022-12-15 3:9:0,6.027080964418129,894550196#0,16
2022-12-15 3:9:0,53.59665845490536,:6572827974_0,16
