dateandtime,spdK/m,edge,vehDen
2022-12-11 11:2:0,45.877477322760974,26520591#0,535
2022-12-11 11:2:0,50.50267206272346,700074885#13,535
2022-12-11 11:2:0,48.722700170908176,:cluster_7937296083_8074011466_8074011468_0,535
2022-12-11 11:2:0,45.013674643308214,25584535#1,535
2022-12-11 11:2:0,0.45873343204323347,:cluster_6570524682_6570524683_5,535
2022-12-11 11:2:0,41.48611741226234,819202034,535
2022-12-11 11:2:0,0.0,765656381#5,535
2022-12-11 11:2:0,39.741233508769696,656524350,535
2022-12-11 11:2:0,49.38483373936129,24958252#0,535
2022-12-11 11:2:0,43.44569044731756,564555056#0-AddedOffRampEdge,535
2022-12-11 11:2:0,56.160784759157494,819585395#8,535
2022-12-11 11:2:0,46.600927135852935,:272452722_1,535
2022-12-11 11:2:0,0.0,765656381#5,535
2022-12-11 11:2:0,39.6426573604475,29982808#2,535
2022-12-11 11:2:0,45.904119486706456,939250966#10,535
2022-12-11 11:2:0,47.604080679233114,859375457#3-AddedOnRampEdge,535
2022-12-11 11:2:0,58.10067878927682,939250978#0,535
2022-12-11 11:2:0,47.58496257782896,24958252#0,535
2022-12-11 11:2:0,42.26402332650285,699651628#0,535
2022-12-11 11:2:0,37.02678752487374,:28582639#9-AddedOnRampNode_0,535
2022-12-11 11:2:0,49.1994827298435,669890462#3,535
2022-12-11 11:2:0,47.88848949916274,24958252#0,535
2022-12-11 11:2:0,45.010996781788954,:6479929448_0,535
2022-12-11 11:2:0,52.4895232501144,700074885#21,535
2022-12-11 11:2:0,41.152273530691545,564555056#0,535
2022-12-11 11:2:0,51.25330223086171,35458364,535
2022-12-11 11:2:0,42.968279036003715,40579529#1,535
2022-12-11 11:2:0,39.948620674869396,656524350,535
2022-12-11 11:2:0,48.80430343743096,32690631#6,535
2022-12-11 11:2:0,47.85241120803479,52244427#10,535
2022-12-11 11:2:0,51.24303242867602,669890462#3,535
2022-12-11 11:2:0,46.17264606329503,850927453#2-AddedOnRampEdge,535
2022-12-11 11:2:0,46.13960543833303,772236620#4,535
2022-12-11 11:2:0,42.44306905376311,26520591#0,535
2022-12-11 11:2:0,42.15056000105367,858935302,535
2022-12-11 11:2:0,53.804200712951705,25746638#7,535
2022-12-11 11:2:0,42.11796521443476,885610134#4-AddedOffRampEdge,535
2022-12-11 11:2:0,0.0004603516200520479,765656381#5,535
2022-12-11 11:2:0,43.851325689648945,885948880#0,535
2022-12-11 11:2:0,47.22123341356248,564577984#2,535
2022-12-11 11:2:0,44.00065729975557,:6568148771_1,535
2022-12-11 11:2:0,40.92342235799209,671744652#5,535
2022-12-11 11:2:0,47.559514621681906,858935315,535
2022-12-11 11:2:0,48.841967361970966,217280778#0,535
2022-12-11 11:2:0,38.457422746933716,858935315,535
2022-12-11 11:2:0,46.24794442819405,-215628990#2,535
2022-12-11 11:2:0,40.81390388424943,41336031#10,535
2022-12-11 11:2:0,41.497547988956455,699863679#0,535
2022-12-11 11:2:0,0.007901671564572305,-890031635,535
2022-12-11 11:2:0,41.01461682968782,699863679#2,535
2022-12-11 11:2:0,44.87635526365999,-26203057,535
2022-12-11 11:2:0,46.416346110780985,217280781#1,535
2022-12-11 11:2:0,28.78693296439333,32690631#1,535
2022-12-11 11:2:0,50.84425294616475,699695785#0,535
2022-12-11 11:2:0,42.54988897443268,:4325417427_4,535
2022-12-11 11:2:0,0.0007265280847396724,765656381#3,535
2022-12-11 11:2:0,0.0,650705746,535
2022-12-11 11:2:0,40.21446216443642,25584523#1,535
2022-12-11 11:2:0,35.1897129368594,-28616980#0,535
2022-12-11 11:2:0,48.400748162550656,32691445#4,535
2022-12-11 11:2:0,40.38919717048962,947628162#0,535
2022-12-11 11:2:0,59.19441747763546,701104139#4,535
2022-12-11 11:2:0,42.8812602354324,671744652#2-AddedOnRampEdge,535
2022-12-11 11:2:0,45.3097128255731,:6570524759_7,535
2022-12-11 11:2:0,44.798553764598815,671744652#2-AddedOnRampEdge,535
2022-12-11 11:2:0,40.19920816735922,656524350,535
2022-12-11 11:2:0,46.997899399127306,700675428,535
2022-12-11 11:2:0,44.54968526067451,885610134#4-AddedOffRampEdge,535
2022-12-11 11:2:0,40.471562138060975,:492464026_2,535
2022-12-11 11:2:0,50.15876877250224,32226001#1,535
2022-12-11 11:2:0,26.313498185094275,888224698#2,535
2022-12-11 11:2:0,30.3948929101017,939250966#8,535
2022-12-11 11:2:0,43.554413779450364,28566849#0,535
2022-12-11 11:2:0,37.7146960521648,699695785#0,535
2022-12-11 11:2:0,0.0,765656381#5,535
2022-12-11 11:2:0,0.0,765656381#5,535
2022-12-11 11:2:0,48.122750208229824,906984715#1,535
2022-12-11 11:2:0,45.339928814756924,28582639#11,535
2022-12-11 11:2:0,45.9781266653761,:6570524689_0,535
2022-12-11 11:2:0,47.824561743736005,652130052,535
2022-12-11 11:2:0,51.21097696864563,669890462#13,535
2022-12-11 11:2:0,39.82956258600995,652130052,535
2022-12-11 11:2:0,35.873001513874925,32690631#6,535
2022-12-11 11:2:0,56.14835203347852,178543139#0,535
2022-12-11 11:2:0,38.75637665362041,652130052,535
2022-12-11 11:2:0,39.782901278518636,28582639#11,535
2022-12-11 11:2:0,48.563849173430576,699913212#6,535
2022-12-11 11:2:0,36.7830341244616,:6568207771_0,535
2022-12-11 11:2:0,39.874461855368104,29982808#3,535
2022-12-11 11:2:0,45.94601997788338,671744652#2-AddedOnRampEdge,535
2022-12-11 11:2:0,28.521653156798802,32690591#1,535
2022-12-11 11:2:0,49.559049189740676,25746572#2,535
2022-12-11 11:2:0,40.55631845402233,-37796191#0,535
2022-12-11 11:2:0,53.03588647739607,:278875042_0,535
2022-12-11 11:2:0,44.761023686614664,700675428,535
2022-12-11 11:2:0,49.41601554076066,894550197#7,535
2022-12-11 11:2:0,43.800775404571255,939250966#0-AddedOffRampEdge,535
2022-12-11 11:2:0,53.22601455075901,923323988,535
2022-12-11 11:2:0,49.52390645977195,28581445,535
2022-12-11 11:2:0,44.472896216324784,26203214#4,535
2022-12-11 11:2:0,46.859035238109094,700675428,535
2022-12-11 11:2:0,50.922050565521076,25584538#2,535
2022-12-11 11:2:0,38.13641514882951,41336031#12,535
2022-12-11 11:2:0,25.949439967302794,:3675027601_2,535
2022-12-11 11:2:0,43.19076812371503,-671462242#1,535
2022-12-11 11:2:0,40.246099004016735,863793425#0,535
2022-12-11 11:2:0,46.23947536737537,858915972#1,535
2022-12-11 11:2:0,43.219377825588225,28582639#11,535
2022-12-11 11:2:0,48.96336711235956,883292350#0,535
2022-12-11 11:2:0,0.0,765656381#5,535
2022-12-11 11:2:0,50.207373912808436,26203214#4-AddedOffRampEdge,535
2022-12-11 11:2:0,51.6009658076001,671744652#5,535
2022-12-11 11:2:0,40.86426756797326,29982808#3,535
2022-12-11 11:2:0,44.15050257568114,26195753#4,535
2022-12-11 11:2:0,43.34433384573644,29982808#3,535
2022-12-11 11:2:0,42.53616059668109,206000690#1,535
2022-12-11 11:2:0,44.37294963573374,939250970,535
2022-12-11 11:2:0,38.78865114703951,:10143103202_2,535
2022-12-11 11:2:0,45.247805803577286,26203214#2,535
2022-12-11 11:2:0,56.83950824277794,772236620#21,535
2022-12-11 11:2:0,49.65599262758464,890774197#1,535
2022-12-11 11:2:0,51.081122376805595,26203057,535
2022-12-11 11:2:0,47.07113206599279,26203057,535
2022-12-11 11:2:0,39.81949580237098,25746572#6,535
2022-12-11 11:2:0,32.20404137142631,26451056#2,535
2022-12-11 11:2:0,42.73068484679552,25584541#2,535
2022-12-11 11:2:0,46.86660565745607,178336809#8,535
2022-12-11 11:2:0,45.99494572146263,26203176#0,535
2022-12-11 11:2:0,45.885710455516076,52244427#0,535
2022-12-11 11:2:0,48.33701859630696,939250966#10,535
2022-12-11 11:2:0,45.86147327140979,700074885#3,535
2022-12-11 11:2:0,47.2331029218805,26203719#1,535
2022-12-11 11:2:0,53.097112454901385,700074885#5,535
2022-12-11 11:2:0,46.512021957686315,-688162152,535
2022-12-11 11:2:0,3.7487709456701457,-28641594,535
2022-12-11 11:2:0,0.0,947628159#0,535
2022-12-11 11:2:0,48.819396813484715,25584525#19,535
2022-12-11 11:2:0,47.08103118309166,:4325415900_4,535
2022-12-11 11:2:0,46.71508792928418,669890458#7-AddedOffRampEdge,535
2022-12-11 11:2:0,39.713298464242946,-26221563#0,535
2022-12-11 11:2:0,48.72913964970576,885610134#4,535
2022-12-11 11:2:0,47.03947917423857,654745276#2,535
2022-12-11 11:2:0,41.892068845269556,178336809#8,535
2022-12-11 11:2:0,58.414567470752395,26520591#0,535
2022-12-11 11:2:0,47.70222864098543,26520995,535
2022-12-11 11:2:0,0.0,650705746,535
2022-12-11 11:2:0,34.92286772806818,859375453,535
2022-12-11 11:2:0,39.51749912116157,700074885#17,535
2022-12-11 11:2:0,14.308549377713351,284147370#0,535
2022-12-11 11:2:0,44.323456227774294,284147370#0,535
2022-12-11 11:2:0,57.776042743817754,26195753#4,535
2022-12-11 11:2:0,0.0,650705746,535
2022-12-11 11:2:0,44.4173101867754,700074885#3,535
2022-12-11 11:2:0,0.0,650705746,535
2022-12-11 11:2:0,50.83444136475402,41336031#4,535
2022-12-11 11:2:0,45.28880027988536,-29982444#3,535
2022-12-11 11:2:0,49.71736498117778,700074885#0-AddedOnRampEdge,535
2022-12-11 11:2:0,48.097834792649216,669890458#3,535
2022-12-11 11:2:0,44.83499262655288,564577984#4,535
2022-12-11 11:2:0,52.15777460485465,28582639#5,535
2022-12-11 11:2:0,52.538763715738575,52244427#14,535
