dateandtime,spdK/m,edge,vehDen
2022-12-19 0:2:0,51.26285082461554,700673538,20
2022-12-19 0:2:0,45.76062185961745,701104139#5,20
2022-12-19 0:2:0,45.1311840842262,700675428,20
2022-12-19 0:2:0,58.08331591316964,669890458#3,20
2022-12-19 0:2:0,47.60168918141038,772236620#1,20
2022-12-19 0:2:0,1.7902128964706123,32691832#8,20
2022-12-19 0:2:0,39.732737637231274,765656384#1,20
2022-12-19 0:2:0,30.503699401758492,:1927165530_6,20
2022-12-19 0:2:0,52.843845855229006,939250966#10,20
2022-12-19 0:2:0,43.97623891635986,26206377#1,20
2022-12-19 0:2:0,44.106429103742165,307882386#2,20
2022-12-19 0:2:0,45.58966059252866,885610134#4,20
2022-12-19 0:2:0,38.199974356664164,669890462#15,20
2022-12-19 0:2:0,47.31681395337501,29982808#3,20
2022-12-19 0:2:0,48.73909557317278,:cluster_278876208_367870942_6,20
2022-12-19 0:2:0,51.700693431753066,41336031#8,20
2022-12-19 0:2:0,40.87239498069321,28826000#6,20
2022-12-19 0:2:0,43.64910518759448,850927453#2-AddedOnRampEdge,20
2022-12-19 0:2:0,44.22777813319242,765656381#3-AddedOnRampEdge,20
2022-12-19 0:2:0,48.46603602373052,765656381#3-AddedOnRampEdge,20
2022-12-19 0:3:0,49.407219771083994,29982808#3,13
2022-12-19 0:3:0,42.866220683371566,29982808#3-AddedOnRampEdge,13
2022-12-19 0:3:0,45.072677622834966,700673538,13
2022-12-19 0:3:0,41.44065851826692,-699926131,13
2022-12-19 0:3:0,39.04986392013185,858935302,13
2022-12-19 0:3:0,12.821696899642344,670655025,13
2022-12-19 0:3:0,40.18471138293743,700074885#3,13
2022-12-19 0:3:0,48.2451690130426,819202035,13
2022-12-19 0:3:0,37.88043109818158,-659581751#1,13
2022-12-19 0:3:0,45.82227668934086,217280770#5,13
2022-12-19 0:3:0,48.92695118695393,669890462#15,13
2022-12-19 0:3:0,51.54632687264621,772236620#3,13
2022-12-19 0:3:0,50.67221652603834,694211551#0,13
2022-12-19 0:4:0,47.075387781634845,894550197#3-AddedOnRampEdge,5
2022-12-19 0:4:0,46.52598827534058,883292352#1-AddedOffRampEdge,5
2022-12-19 0:4:0,42.00598901743457,652130052,5
2022-12-19 0:4:0,44.074440590533236,700074885#13,5
2022-12-19 0:4:0,47.27305190990925,:415861878_0,5
2022-12-19 0:5:0,43.19142116675145,859375448#1,5
2022-12-19 0:5:0,47.21859798117244,885839350#0,5
2022-12-19 0:5:0,38.31535140136644,41669755#0,5
2022-12-19 0:5:0,30.07715967335456,:287924311_4,5
2022-12-19 0:5:0,45.57946203975253,939250970,5
2022-12-19 0:6:0,31.41191650930496,:473604474_2,2
2022-12-19 0:6:0,45.50213127642184,41336031#4-AddedOffRampEdge,2
2022-12-19 0:7:0,49.27628067640834,819202036,1
