dateandtime,spdK/m,edge,vehDen
2022-12-8 1:2:0,24.630731204615113,:6568207771_4,14
2022-12-8 1:2:0,45.7131363934646,700675428,14
2022-12-8 1:2:0,46.12022443362397,:669890458#7-AddedOffRampNode_0,14
2022-12-8 1:2:0,47.21130277437941,:8006884404_0,14
2022-12-8 1:2:0,49.16096062046528,859375457#5,14
2022-12-8 1:2:0,44.95974249396358,:cluster_6510095965_6510095968_9,14
2022-12-8 1:2:0,51.38212473744768,858935302,14
2022-12-8 1:2:0,42.76722972165044,:280773409_1,14
2022-12-8 1:2:0,39.187372784949815,765656381#1,14
2022-12-8 1:2:0,56.33186275664042,700673538,14
2022-12-8 1:2:0,46.03172534175266,37718805#2,14
2022-12-8 1:2:0,53.26750956234236,858935315,14
2022-12-8 1:2:0,19.857496459095213,:8771565283_0,14
2022-12-8 1:2:0,45.07815761204356,32690591#1,14
2022-12-8 1:3:0,54.404372461930855,:6572611857_0,16
2022-12-8 1:3:0,29.871724521676107,:6574844031_1,16
2022-12-8 1:3:0,48.85489171152181,-26195753#0,16
2022-12-8 1:3:0,43.565872923944866,858935315,16
2022-12-8 1:3:0,39.78639651960933,858935302,16
2022-12-8 1:3:0,15.357973160635234,-182371959#0,16
2022-12-8 1:3:0,46.70125236902543,32690620#2,16
2022-12-8 1:3:0,49.75028994463626,669890462#13,16
2022-12-8 1:3:0,43.011032868839756,669890458#14,16
2022-12-8 1:3:0,30.620256310191614,-182371966#4,16
2022-12-8 1:3:0,54.000463665111695,888807595#4,16
2022-12-8 1:3:0,46.504963109493744,671744652#2-AddedOnRampEdge,16
2022-12-8 1:3:0,39.755029084179554,:6132207428_4,16
2022-12-8 1:3:0,53.17203144597535,858935309,16
2022-12-8 1:3:0,39.42337020119495,858935302,16
2022-12-8 1:3:0,47.18298285641255,850927453#3-AddedOffRampEdge,16
2022-12-8 1:4:0,56.93916440828611,894550196#0,18
2022-12-8 1:4:0,45.68430014891728,26203214#4,18
2022-12-8 1:4:0,46.66869760214236,858935309,18
2022-12-8 1:4:0,50.1335372225512,25584538#5,18
2022-12-8 1:4:0,45.15254461338629,765656384#4,18
2022-12-8 1:4:0,47.73382574318134,669890458#1,18
2022-12-8 1:4:0,41.849855741823376,883292352#1,18
2022-12-8 1:4:0,47.91727368847708,37718131#0,18
2022-12-8 1:4:0,38.63686431299376,885948880#4,18
2022-12-8 1:4:0,52.47826471241417,39550871,18
