dateandtime,spdK/m,edge,vehDen
2022-12-18 12:2:0,0.0,765656381#3,410
2022-12-18 12:2:0,47.11008679749544,564555056#0,410
2022-12-18 12:2:0,20.93894421423984,:4325418526_3,410
2022-12-18 12:2:0,44.92271482937287,850927453#2-AddedOnRampEdge,410
2022-12-18 12:2:0,39.91097971689682,26203057,410
2022-12-18 12:2:0,49.93548233642458,:699651628#1-AddedOffRampNode_0,410
2022-12-18 12:2:0,48.39994937369952,564577984#3-AddedOffRampEdge,410
2022-12-18 12:2:0,48.98350832663231,885839350#0,410
2022-12-18 12:2:0,49.35531195185016,699651628#1-AddedOffRampEdge,410
2022-12-18 12:2:0,39.3234930160726,24958252#0,410
2022-12-18 12:2:0,42.93472539431043,669890458#7,410
2022-12-18 12:2:0,45.16509334450619,:6287897741_0,410
2022-12-18 12:2:0,52.23454559484727,701104139#4,410
2022-12-18 12:2:0,21.89807800492696,858935302,410
2022-12-18 12:2:0,43.49393381881124,41336031#10,410
2022-12-18 12:2:0,53.79138636497936,37711813#7,410
2022-12-18 12:2:0,51.366910907578216,25584650#3,410
2022-12-18 12:2:0,39.66348990467446,700675428,410
2022-12-18 12:2:0,0.0,650705746,410
2022-12-18 12:2:0,11.49260899999179,859375452,410
2022-12-18 12:2:0,36.03433119155717,26520591#0,410
2022-12-18 12:2:0,42.95889019338339,939250966#10-AddedOnRampEdge,410
2022-12-18 12:2:0,47.55253792021054,669890458#10-AddedOnRampEdge,410
2022-12-18 12:2:0,51.16240408951884,858915972#3,410
2022-12-18 12:2:0,47.099778894208704,564555056#0,410
2022-12-18 12:2:0,0.0,765656381#5,410
2022-12-18 12:2:0,46.57744192119478,41336031#8,410
2022-12-18 12:2:0,47.57471710852692,28495635#6,410
2022-12-18 12:2:0,44.50171384166471,939250966#10,410
2022-12-18 12:2:0,42.03201762376575,858915972#1,410
2022-12-18 12:2:0,39.14021561726781,939250966#10,410
2022-12-18 12:2:0,52.041384620248635,26203214#4,410
2022-12-18 12:2:0,41.72721453554685,819202035,410
2022-12-18 12:2:0,45.40450720699507,700074885#9,410
2022-12-18 12:2:0,46.525552103238354,178336794#0,410
2022-12-18 12:2:0,36.83898631909589,894550195#2,410
2022-12-18 12:2:0,52.62566476303965,:cluster_314796298_314796350_314796427_5,410
2022-12-18 12:2:0,39.3879852785313,29982808#3,410
2022-12-18 12:2:0,53.718175004617365,-652088553#18,410
2022-12-18 12:2:0,0.0,947628159#4,410
2022-12-18 12:2:0,38.51098383961277,885610134#3-AddedOnRampEdge,410
2022-12-18 12:2:0,0.0,:8771565283_0,410
2022-12-18 12:2:0,54.73831567053442,26203214#4-AddedOffRampEdge,410
2022-12-18 12:2:0,49.77701951236555,850927453#2-AddedOnRampEdge,410
2022-12-18 12:2:0,46.24022009820668,41336031#6,410
2022-12-18 12:2:0,36.3096589494013,888807595#4,410
2022-12-18 12:2:0,52.57047811852925,29982808#3,410
2022-12-18 12:2:0,37.068830248882556,772236620#3,410
2022-12-18 12:2:0,33.838304571717785,:278875679_0,410
2022-12-18 12:2:0,52.16203994718411,700673538,410
2022-12-18 12:2:0,53.06516949759221,28582639#11,410
2022-12-18 12:2:0,44.54540320107476,25584641,410
2022-12-18 12:2:0,49.21029574146674,-25746588#7,410
2022-12-18 12:2:0,45.22371886702028,858935302,410
2022-12-18 12:2:0,35.75653582570298,669890462#5,410
2022-12-18 12:2:0,48.4927592699305,671744652#8,410
2022-12-18 12:2:0,47.715873424130116,29982808#3,410
2022-12-18 12:2:0,39.755970429877244,28582639#13,410
2022-12-18 12:2:0,0.0,650705746,410
2022-12-18 12:2:0,31.84986491045599,37718132#2,410
2022-12-18 12:2:0,37.907557656298046,-32691720#2,410
2022-12-18 12:2:0,42.06353326164124,28582639#7-AddedOffRampEdge,410
2022-12-18 12:2:0,47.5764503660616,52244427#10,410
2022-12-18 12:2:0,29.301376932151616,25746577#3,410
2022-12-18 12:2:0,53.664096957587205,25584589#2,410
2022-12-18 12:2:0,47.66998356176546,885839350#0-AddedOffRampEdge,410
2022-12-18 12:2:0,48.18206500340572,669890458#7,410
2022-12-18 12:2:0,50.50472610172038,234806527#2,410
2022-12-18 12:2:0,44.15198720378937,850927457,410
2022-12-18 12:2:0,37.44923522706449,:cluster_3675027604_6570524709_0,410
2022-12-18 12:2:0,45.3739742886183,858935315,410
2022-12-18 12:2:0,48.51463495826336,:850927453#3-AddedOffRampNode_0,410
2022-12-18 12:2:0,29.744953055149676,25584640#1,410
2022-12-18 12:2:0,50.63683995248383,:2251061892_0,410
2022-12-18 12:2:0,41.697126596412915,26195753#3,410
2022-12-18 12:2:0,42.81661167573833,:6572780118_2,410
2022-12-18 12:2:0,47.6344518013727,:278875117_0,410
2022-12-18 12:2:0,38.41567440637118,32659640#0,410
2022-12-18 12:2:0,50.47258112918347,:330056882_0,410
2022-12-18 12:2:0,40.13037390194049,41336031#8,410
2022-12-18 12:2:0,0.0,765656381#5,410
2022-12-18 12:2:0,41.33317479442008,701104139#4,410
2022-12-18 12:2:0,32.255600250633094,772236620#21,410
2022-12-18 12:2:0,51.181336360724465,26193439#2,410
2022-12-18 12:2:0,54.31234529228984,-25746588#9,410
