dateandtime,spdK/m,edge,vehDen
2022-12-20 3:2:0,50.683857995016844,:888224697#0-AddedOffRampNode_0,13
2022-12-20 3:2:0,45.502579065766895,770590111#2,13
2022-12-20 3:2:0,43.74523112456074,:cluster_6572911074_6572911076_8074011433_8074011435_0,13
2022-12-20 3:2:0,53.54277347949408,772236620#1,13
2022-12-20 3:2:0,45.874741659639184,939250978#1,13
2022-12-20 3:2:0,53.281051874314834,885610134#4-AddedOffRampEdge,13
2022-12-20 3:2:0,40.29150724050182,:280772477_0,13
2022-12-20 3:2:0,51.4347021965797,669890462#5,13
2022-12-20 3:2:0,44.23374017014606,700074885#9,13
2022-12-20 3:2:0,50.211531247822556,26253884#1,13
2022-12-20 3:2:0,46.93896049504647,652088553#0,13
2022-12-20 3:2:0,51.25185175390144,-226118558#1,13
2022-12-20 3:2:0,43.67639403816064,858935315,13
2022-12-20 3:3:0,49.74849179954861,28582639#7,13
2022-12-20 3:3:0,53.57889591993772,32690631#8,13
2022-12-20 3:3:0,45.2864229408845,52244427#10,13
2022-12-20 3:3:0,46.32091304023509,362240145#0,13
2022-12-20 3:3:0,51.54539876199402,772236620#12,13
2022-12-20 3:3:0,34.97476780907182,939250966#5,13
2022-12-20 3:3:0,52.54447484200395,939250966#10-AddedOnRampEdge,13
2022-12-20 3:3:0,42.20003250463459,669890458#3,13
2022-12-20 3:3:0,41.00059055541864,700084841#3,13
2022-12-20 3:3:0,48.99832625868944,37718147#0,13
2022-12-20 3:3:0,43.514560815631135,700074885#21,13
2022-12-20 3:3:0,19.875934278659233,650705746,13
2022-12-20 3:3:0,45.13680730670442,671744652#5,13
2022-12-20 3:4:0,48.00517991341312,28582639#13,12
2022-12-20 3:4:0,55.97907981724486,700673538,12
2022-12-20 3:4:0,42.783641277803824,885610134#4,12
2022-12-20 3:4:0,26.367776791223374,:2265599276_1,12
2022-12-20 3:4:0,24.911217737883153,:367883842_0,12
2022-12-20 3:4:0,52.76931558534078,939250970,12
2022-12-20 3:4:0,39.585737020574165,669890458#12,12
2022-12-20 3:4:0,41.54943548003434,-26195753#1,12
2022-12-20 3:4:0,36.662399675943156,28582639#9-AddedOnRampEdge,12
2022-12-20 3:4:0,45.21501759583569,29982808#3,12
2022-12-20 3:4:0,52.70964485926545,700074885#11,12
2022-12-20 3:4:0,50.63132476236767,-688162152,12
2022-12-20 3:5:0,35.9879881234991,217280784#1,10
2022-12-20 3:5:0,46.220374023244496,700074885#3,10
2022-12-20 3:5:0,37.30545871800742,-25584541#3,10
2022-12-20 3:5:0,39.51521653177741,939250965#0,10
2022-12-20 3:5:0,41.53662393097056,26203214#3,10
2022-12-20 3:5:0,35.59473922905905,28582639#13,10
2022-12-20 3:5:0,51.70660978193124,26203214#4,10
2022-12-20 3:5:0,45.893529708231526,-28581483,10
2022-12-20 3:5:0,22.235753595190566,28582639#3,10
2022-12-20 3:5:0,50.67898559803239,564555056#0,10
2022-12-20 3:6:0,33.527021841716454,32690553#0,9
2022-12-20 3:6:0,46.58019363939572,32226001#1,9
2022-12-20 3:6:0,48.70880920507371,26026754#1,9
2022-12-20 3:6:0,39.83094988931631,894550195#1,9
2022-12-20 3:6:0,39.071899670429886,700675428,9
2022-12-20 3:6:0,35.80317015586813,700074885#3,9
