dateandtime,spdK/m,edge,vehDen
2022-12-11 1:2:0,43.46615537245395,772236620#9,18
2022-12-11 1:2:0,40.89164422430872,858935302,18
2022-12-11 1:2:0,42.43190145120098,700673538,18
2022-12-11 1:2:0,26.461678482788802,:6570524746_2,18
2022-12-11 1:2:0,32.635279141338536,-26729390#1,18
2022-12-11 1:2:0,54.25774598397571,939250970,18
2022-12-11 1:2:0,47.40298922525029,883292352#0,18
2022-12-11 1:2:0,48.011853454656915,939250965#0,18
2022-12-11 1:2:0,46.02826642929625,858935302,18
2022-12-11 1:2:0,52.94586701999326,894550197#3-AddedOnRampEdge,18
2022-12-11 1:2:0,55.99190852822962,25746632#12,18
2022-12-11 1:2:0,38.03417935452869,652096512#0,18
2022-12-11 1:2:0,43.65223439061964,:6568207779_7,18
2022-12-11 1:2:0,46.09048292270529,-363326175#5,18
2022-12-11 1:2:0,49.92113126403366,819202034,18
2022-12-11 1:2:0,5.175796267390251,669890462#15-AddedOffRampEdge,18
2022-12-11 1:2:0,44.10898496181589,859375457#3-AddedOnRampEdge,18
2022-12-11 1:2:0,44.62343312329389,-658857455,18
2022-12-11 1:3:0,41.89347589469358,26195270#6-AddedOffRampEdge,18
2022-12-11 1:3:0,44.390805976121484,29982808#3,18
2022-12-11 1:3:0,45.89237995624428,41336031#8,18
2022-12-11 1:3:0,45.62619718303237,-25746578#5,18
2022-12-11 1:3:0,44.591117843046696,-38329665#1,18
2022-12-11 1:3:0,52.822621186108094,41336031#4-AddedOffRampEdge,18
2022-12-11 1:3:0,50.671343767356674,859375457#3,18
2022-12-11 1:3:0,48.581534480884685,819585395#10,18
2022-12-11 1:3:0,40.304236629375794,25584538#4,18
2022-12-11 1:3:0,53.83827080323268,699863679#2,18
2022-12-11 1:3:0,55.419421117270765,32691561#4,18
2022-12-11 1:3:0,41.32963330137988,:2265599263_0,18
2022-12-11 1:3:0,51.82952550569263,52244427#10,18
2022-12-11 1:3:0,50.06714796977275,700673538,18
2022-12-11 1:3:0,49.09092212115504,:278876031_3,18
2022-12-11 1:3:0,53.65641271661178,772236620#6,18
2022-12-11 1:3:0,27.57009309282527,699926147#4,18
2022-12-11 1:3:0,49.69015454344882,:278876437_1,18
2022-12-11 1:4:0,40.330125540903126,858915972#1,16
2022-12-11 1:4:0,42.361612766447784,25584650#1,16
2022-12-11 1:4:0,43.493363480186815,28641433#3,16
2022-12-11 1:4:0,46.44982166392614,41336031#12,16
2022-12-11 1:4:0,47.71948287497539,:6595812561_0,16
2022-12-11 1:4:0,46.20346838300676,765656384#1,16
2022-12-11 1:4:0,17.87943216375383,26285000#0,16
2022-12-11 1:4:0,51.04310629902648,699863679#5,16
2022-12-11 1:4:0,16.46769695409628,675092244#1,16
2022-12-11 1:4:0,47.07221823309124,:6572611809_0,16
2022-12-11 1:4:0,49.96816053896856,38071249#8,16
2022-12-11 1:4:0,46.78542718487017,29982808#5,16
2022-12-11 1:4:0,48.014863839029296,700673538,16
2022-12-11 1:4:0,51.983279045765784,:417006105_0,16
2022-12-11 1:4:0,54.14961072496564,858935315,16
2022-12-11 1:4:0,48.12510585866368,:442349875_0,16
2022-12-11 1:5:0,42.51753331896691,-32691357#3,15
2022-12-11 1:5:0,42.20987970970323,858935315,15
2022-12-11 1:5:0,44.18388170261009,765656384#5,15
2022-12-11 1:5:0,39.52882565593212,-32692020#6,15
2022-12-11 1:5:0,38.51991183321208,25584525#23,15
2022-12-11 1:5:0,46.64233990295675,:2251061830_4,15
2022-12-11 1:5:0,47.75351023986563,858935302,15
2022-12-11 1:5:0,32.079248801776444,894550195#2,15
2022-12-11 1:5:0,44.51292952009052,182371968#1,15
2022-12-11 1:5:0,49.842050966426434,859375457#3-AddedOnRampEdge,15
2022-12-11 1:5:0,48.82111124991529,29982808#3,15
2022-12-11 1:5:0,53.43534795678364,939250971,15
2022-12-11 1:5:0,33.98237627830357,-37796190#3,15
2022-12-11 1:5:0,50.96781053476462,858935309,15
2022-12-11 1:5:0,49.911807273751705,:669890458#10-AddedOnRampNode_0,15
2022-12-11 1:6:0,42.33074727001352,32690567#11,15
2022-12-11 1:6:0,35.3578290533453,-25746624#5,15
2022-12-11 1:6:0,39.46773517306759,669890462#15,15
2022-12-11 1:6:0,44.9419358850651,700074885#0-AddedOnRampEdge,15
2022-12-11 1:6:0,33.08475507128773,:2251061884_4,15
2022-12-11 1:6:0,47.07428071124107,:8006886495_0,15
2022-12-11 1:6:0,40.10967612976841,858915972#4-AddedOffRampEdge,15
2022-12-11 1:6:0,30.83518366597523,182371966#2,15
2022-12-11 1:6:0,54.9216551258331,:6568207668_0,15
2022-12-11 1:6:0,45.428614223958405,858935302,15
2022-12-11 1:6:0,49.03168140957289,699863679#5,15
2022-12-11 1:6:0,54.50047630716258,819585395#14-AddedOffRampEdge,15
2022-12-11 1:6:0,0.0,37719474,15
2022-12-11 1:6:0,60.70875969244424,858935315,15
2022-12-11 1:6:0,52.33574681018905,26206307#0-AddedOffRampEdge,15
2022-12-11 1:7:0,33.582926540932775,25746577#3,18
2022-12-11 1:7:0,41.35989332395471,-25746588#10,18
2022-12-11 1:7:0,37.560368222091974,-26253870#1,18
2022-12-11 1:7:0,44.92197193754465,37711813#3,18
2022-12-11 1:7:0,39.54232061706185,669890458#18-AddedOffRampEdge,18
2022-12-11 1:7:0,45.86573327094224,765656384#1,18
2022-12-11 1:7:0,45.238114973829845,37789102#15,18
2022-12-11 1:7:0,42.13143073925382,654745276#2,18
2022-12-11 1:7:0,51.66134015161636,765656381#3,18
2022-12-11 1:7:0,46.95501692661591,652130052,18
2022-12-11 1:7:0,55.52545647441552,52244427#0,18
2022-12-11 1:7:0,51.832347958683506,37789114,18
2022-12-11 1:7:0,42.8820329653843,178336809#9,18
2022-12-11 1:7:0,61.87656258733268,858935309,18
2022-12-11 1:7:0,49.50950532503969,958778139#0,18
2022-12-11 1:7:0,51.69062094968238,699863679#5,18
2022-12-11 1:7:0,43.249504051781955,700675428,18
2022-12-11 1:7:0,59.339543395255795,669890458#14,18
2022-12-11 1:8:0,36.713344907554955,700675428,20
2022-12-11 1:8:0,40.97752064481242,-226118560#1,20
2022-12-11 1:8:0,47.92194668594376,-26253962#3,20
2022-12-11 1:8:0,46.092563316001566,858935302,20
2022-12-11 1:8:0,44.887047464942334,859375453,20
2022-12-11 1:8:0,41.44044527248903,32690567#11,20
2022-12-11 1:8:0,42.43070146721422,858935315,20
2022-12-11 1:8:0,47.8262084375389,-26195719#0,20
2022-12-11 1:8:0,51.60736886377538,858935302,20
2022-12-11 1:8:0,44.07016477604561,37789102#2,20
2022-12-11 1:8:0,45.51761045610108,25584650#3,20
2022-12-11 1:8:0,46.65022522107849,:cluster_367871992_543376977_6278666057_7205752204_7205752205_1,20
2022-12-11 1:8:0,52.67756606002481,700074885#11,20
2022-12-11 1:8:0,47.525374351683546,939250978#1,20
2022-12-11 1:8:0,13.06999288671942,858935306,20
2022-12-11 1:8:0,60.54693259972403,694211551#1-AddedOnRampEdge,20
2022-12-11 1:8:0,38.69758618131007,25584535#5,20
2022-12-11 1:8:0,52.926319496838396,939250978#1,20
2022-12-11 1:8:0,47.806680332464865,25584523#5,20
2022-12-11 1:8:0,59.90901463820515,669890462#5,20
2022-12-11 1:9:0,32.86917662815113,700673538,19
2022-12-11 1:9:0,45.81922583294661,41336031#4,19
2022-12-11 1:9:0,45.744816173081304,858915973#2-AddedOnRampEdge,19
2022-12-11 1:9:0,39.23946272798307,32690567#19,19
2022-12-11 1:9:0,42.068291805336315,858935309,19
2022-12-11 1:9:0,51.66383626961821,25746572#6,19
2022-12-11 1:9:0,55.248179750927704,652130052,19
2022-12-11 1:9:0,47.70331162158564,859375453,19
2022-12-11 1:9:0,46.10932206000336,:cluster_6135315669_6570524733_6570524734_6570524737_6865759172_13,19
2022-12-11 1:9:0,46.018724791260084,28582639#11,19
2022-12-11 1:9:0,47.74020483004814,307882386#2,19
2022-12-11 1:9:0,44.666034750677525,:cluster_447795258_6568207667_6568207669_1,19
2022-12-11 1:9:0,43.47974817276844,-26206377#4,19
2022-12-11 1:9:0,35.47565329929508,25584525#14,19
2022-12-11 1:9:0,54.20210000502134,307882386#2,19
2022-12-11 1:9:0,47.7297444526408,654745276#2,19
2022-12-11 1:9:0,44.878391816891494,:cluster_278875778_6574844055_0,19
2022-12-11 1:9:0,34.8847487790117,215628998#2,19
2022-12-11 1:9:0,57.296240675153726,669890462#15-AddedOffRampEdge,19
2022-12-11 1:10:0,36.4441594143856,700673538,21
2022-12-11 1:10:0,44.67687138383966,-675093183#2,21
2022-12-11 1:10:0,46.44523905010522,363326182,21
2022-12-11 1:10:0,46.82737658725959,:3074064943_0,21
2022-12-11 1:10:0,39.12464349644683,888224697#0-AddedOffRampEdge,21
2022-12-11 1:10:0,43.889112722208786,765656381#3,21
2022-12-11 1:10:0,29.911521832062157,-35583936#5,21
2022-12-11 1:10:0,49.68810080774175,-670655027#1,21
2022-12-11 1:10:0,56.16784079940149,669890458#10-AddedOnRampEdge,21
2022-12-11 1:10:0,0.0,215628990#3,21
2022-12-11 1:10:0,23.884302151461863,:7938194073_0,21
2022-12-11 1:10:0,47.27200862251076,859375453,21
2022-12-11 1:10:0,43.64200472388568,939250966#7,21
2022-12-11 1:10:0,45.82498206442885,671744652#4,21
2022-12-11 1:10:0,51.22090486274055,700074885#3,21
2022-12-11 1:10:0,46.41926793328867,32691445#8,21
2022-12-11 1:10:0,0.0,-37099917#6,21
2022-12-11 1:10:0,54.25132121360117,693684932#1,21
2022-12-11 1:10:0,47.34885255456506,:8006884473_0,21
2022-12-11 1:10:0,40.282759759172784,850927453#4-AddedOffRampEdge,21
2022-12-11 1:10:0,43.93646125645671,26195767#0,21
2022-12-11 1:11:0,35.97706913987098,883292352#1,21
2022-12-11 1:11:0,46.42979533419702,858935302,21
2022-12-11 1:11:0,35.77539952501555,669890462#15,21
2022-12-11 1:11:0,42.79955327906138,-215628990#1,21
