dateandtime,spdK/m,edge,vehDen
2022-12-16 16:2:0,39.03917360882717,32690553#2,184
2022-12-16 16:2:0,20.825206014393565,701104140,184
2022-12-16 16:2:0,47.29469674510307,671741180,184
2022-12-16 16:2:0,49.623838751971235,939250970,184
2022-12-16 16:2:0,47.54478265669218,699695785#0,184
2022-12-16 16:2:0,47.81634252255286,28664899-AddedOnRampEdge,184
2022-12-16 16:2:0,50.474929711146046,888807595#1,184
2022-12-16 16:2:0,45.74976278317184,859375452,184
2022-12-16 16:2:0,43.61881617451131,850839746,184
2022-12-16 16:2:0,47.34921157655736,888224698#2,184
2022-12-16 16:2:0,43.831719730100914,939250973,184
2022-12-16 16:2:0,48.88413713055429,32690553#2,184
2022-12-16 16:2:0,40.027769559717676,654745276#5,184
2022-12-16 16:2:0,47.76445271948295,939250966#10,184
2022-12-16 16:2:0,32.79193396836832,:772236620#21-AddedOffRampNode_0,184
2022-12-16 16:2:0,48.39539529806582,-28581483,184
2022-12-16 16:2:0,15.656728229457512,-700145119,184
2022-12-16 16:2:0,42.565347771199605,699863679#0,184
2022-12-16 16:2:0,42.378961424381295,25746572#2,184
2022-12-16 16:2:0,36.005536356090545,:8010531625_1,184
2022-12-16 16:2:0,42.144584296859605,654745276#4,184
2022-12-16 16:2:0,50.67927923338947,564577984#2,184
2022-12-16 16:2:0,47.10403829569369,819585395#10,184
2022-12-16 16:2:0,35.96049873641469,768258462#0,184
2022-12-16 16:2:0,50.78601901831211,52244427#10,184
2022-12-16 16:2:0,43.08893933496438,819202034,184
2022-12-16 16:2:0,45.39500023383076,669890462#5,184
2022-12-16 16:2:0,40.67230471801508,669890458#3,184
2022-12-16 16:2:0,46.35377084340165,652130052,184
2022-12-16 16:2:0,53.87029149471434,654419619#0,184
2022-12-16 16:2:0,40.54221425587861,939250966#9,184
2022-12-16 16:2:0,45.250199960878504,-37796190#3,184
2022-12-16 16:2:0,46.21581878493699,858935315,184
2022-12-16 16:2:0,52.293612435194945,:cluster_280771619_442349885_442349886_442349888_7,184
2022-12-16 16:2:0,48.411321025787615,564577984#2,184
2022-12-16 16:2:0,42.16484600308661,25584525#8,184
2022-12-16 16:2:0,46.19848423077907,890774197#1,184
2022-12-16 16:2:0,17.402574996147308,26026754#0,184
2022-12-16 16:2:0,29.208982640317807,:4325418526_3,184
2022-12-16 16:2:0,47.83427394660522,705357186#1,184
2022-12-16 16:2:0,61.28863889675573,:2251061629_7,184
2022-12-16 16:2:0,24.499310041093207,:4325418852_10,184
2022-12-16 16:2:0,47.148852558032345,700074885#3,184
2022-12-16 16:2:0,50.11946041691694,25746572#7,184
2022-12-16 16:2:0,40.30316541632299,26206377#1,184
2022-12-16 16:2:0,49.24958410500057,940974903#3-AddedOnRampEdge,184
2022-12-16 16:2:0,57.153113749166785,858935315,184
2022-12-16 16:2:0,45.96870832319132,819202035,184
2022-12-16 16:2:0,50.897342240035194,:367222549_0,184
2022-12-16 16:2:0,53.305316086067315,25746544#3,184
2022-12-16 16:2:0,39.55447824428433,894550197#7,184
2022-12-16 16:2:0,48.438724963539634,858935302,184
2022-12-16 16:2:0,51.70221088888661,25746544#3,184
2022-12-16 16:2:0,50.868450636830055,-26729412#2,184
2022-12-16 16:2:0,30.055762092005274,671752494,184
2022-12-16 16:2:0,46.00099620330205,28582639#1,184
2022-12-16 16:2:0,43.67104701320529,28582639#13,184
2022-12-16 16:2:0,50.48762927461606,25584538#2,184
2022-12-16 16:2:0,45.009319803021626,940974902#0,184
2022-12-16 16:2:0,43.49584655675671,652130052,184
2022-12-16 16:2:0,49.75352854608232,29982808#3-AddedOnRampEdge,184
2022-12-16 16:2:0,40.86207260019511,859375453,184
2022-12-16 16:2:0,40.244347223600954,29982808#3,184
2022-12-16 16:2:0,42.84614161294734,971350102#1,184
2022-12-16 16:2:0,39.72280342608102,859375452,184
2022-12-16 16:2:0,51.19520783220172,700074885#0-AddedOnRampEdge,184
2022-12-16 16:2:0,45.78282569029778,28495635#3,184
2022-12-16 16:2:0,55.023212526725366,885610134#4-AddedOffRampEdge,184
2022-12-16 16:2:0,49.296827374164295,:367206874_1,184
2022-12-16 16:2:0,50.72946628870034,699863679#2,184
2022-12-16 16:2:0,42.78697686507708,564577984#2,184
2022-12-16 16:2:0,56.94170185480733,41336031#0-AddedOnRampEdge,184
2022-12-16 16:2:0,49.108702007712466,:cluster_317515083_7650321646_0,184
2022-12-16 16:2:0,43.460063437487264,700673538,184
2022-12-16 16:2:0,54.67812026411556,:669890458#7-AddedOffRampNode_0,184
2022-12-16 16:2:0,38.3587760063354,-26253984#6,184
2022-12-16 16:2:0,47.29044808836902,52244427#7-AddedOnRampEdge,184
2022-12-16 16:2:0,49.88745935140265,765656384#1,184
2022-12-16 16:2:0,50.335871765297505,888224697#0,184
2022-12-16 16:2:0,43.39522567944811,52244427#14,184
2022-12-16 16:2:0,51.40773444401908,:819585395#14-AddedOffRampNode_0,184
2022-12-16 16:2:0,45.1248147366466,25584650#1,184
2022-12-16 16:2:0,38.94041228357472,25746632#12,184
2022-12-16 16:2:0,44.275114965256165,:6570524747_2,184
2022-12-16 16:2:0,46.57606015715853,26195270#6-AddedOffRampEdge,184
2022-12-16 16:2:0,39.12123391792332,37711813#3,184
2022-12-16 16:2:0,36.54026178690535,37711813#3,184
2022-12-16 16:2:0,40.98727659102488,25746572#9,184
2022-12-16 16:2:0,45.93749565185653,37711813#3,184
2022-12-16 16:2:0,37.13540306004765,:8006886526_0,184
2022-12-16 16:2:0,40.74886872613997,819585395#7,184
2022-12-16 16:2:0,39.51795513682839,906984715#1,184
