dateandtime,spdK/m,edge,vehDen
2022-12-20 1:2:0,38.32237635005898,858935302,10
2022-12-20 1:2:0,43.94391284054711,:367206874_0,10
2022-12-20 1:2:0,55.61241953526812,858935302,10
2022-12-20 1:2:0,46.00313324727957,:cluster_284142560_492400840_8768432608_8768432610_0,10
2022-12-20 1:2:0,49.86534052577959,819221586#2,10
2022-12-20 1:2:0,52.93801358553672,29982808#3-AddedOnRampEdge,10
2022-12-20 1:2:0,45.96375626403826,669890458#10-AddedOnRampEdge,10
2022-12-20 1:2:0,46.946204494435115,37718132#3,10
2022-12-20 1:2:0,43.41473037914908,35458365,10
2022-12-20 1:2:0,49.903014474836645,858935309,10
2022-12-20 1:3:0,37.72939148791767,26195270#7,13
2022-12-20 1:3:0,45.33808134007833,671744652#1,13
2022-12-20 1:3:0,53.95584275284039,669890462#13,13
2022-12-20 1:3:0,58.36528474050491,217280770#4,13
2022-12-20 1:3:0,47.388160450587996,25584526#6,13
2022-12-20 1:3:0,46.34660455417971,37099917#2,13
2022-12-20 1:3:0,47.71926234986373,669890462#13,13
2022-12-20 1:3:0,55.12479614243934,894550197#7,13
2022-12-20 1:3:0,39.21956000192016,25584627#0,13
2022-12-20 1:3:0,47.65713387232438,700675428,13
2022-12-20 1:3:0,40.909811103134,:894550194#3-AddedOffRampNode_0,13
2022-12-20 1:3:0,45.82037782088457,26203214#4,13
2022-12-20 1:3:0,31.942047195602715,765656384#0,13
2022-12-20 1:4:0,38.57687704425006,669890462#13,15
2022-12-20 1:4:0,48.361442714484795,699913212#0,15
2022-12-20 1:4:0,41.07751625658578,858935309,15
2022-12-20 1:4:0,54.226552865413964,:cluster_280771812_442349874_6572827950_6572827951_6894453662_13,15
2022-12-20 1:4:0,41.61796218841995,:cluster_367888061_6279963928_0,15
2022-12-20 1:4:0,59.67718789725481,29982808#3-AddedOnRampEdge,15
2022-12-20 1:4:0,46.07208478799241,26264286#1,15
2022-12-20 1:4:0,48.52338466171847,669890458#1-AddedOnRampEdge,15
2022-12-20 1:4:0,46.02890903998331,28582639#13,15
2022-12-20 1:4:0,59.00560785291857,35584087#3,15
2022-12-20 1:4:0,47.54228532491416,700673538,15
2022-12-20 1:4:0,22.665180663138177,:cluster_286955226_6568207661_16,15
2022-12-20 1:4:0,43.661897381223504,701104139#5,15
2022-12-20 1:4:0,39.811738648086774,25746595#3,15
2022-12-20 1:4:0,4.66597345330216,-217280781#2,15
2022-12-20 1:5:0,40.093712186065304,37718131#0,17
2022-12-20 1:5:0,19.72258135450723,217280784#2,17
2022-12-20 1:5:0,45.860800018556496,906984715#1-AddedOffRampEdge,17
2022-12-20 1:5:0,23.25198858962395,26729390#2,17
2022-12-20 1:5:0,50.541216309578324,28616980#0,17
2022-12-20 1:5:0,52.46390903240258,25746572#6,17
2022-12-20 1:5:0,52.25050295721786,-26206348#1,17
2022-12-20 1:5:0,47.32228386991511,650714381#2-AddedOffRampEdge,17
2022-12-20 1:5:0,22.613463342768142,:cluster_2349727150_6574844066_1,17
2022-12-20 1:5:0,47.78221725117173,939250966#10-AddedOnRampEdge,17
2022-12-20 1:5:0,44.574782756250684,26195744#8,17
2022-12-20 1:5:0,50.75254846958184,226118558#0,17
2022-12-20 1:5:0,48.215999659823034,:6568207663_0,17
2022-12-20 1:5:0,28.5905201234532,700084841#3,17
2022-12-20 1:5:0,48.70741946189828,29982808#3,17
2022-12-20 1:5:0,42.338732460918415,858935302,17
2022-12-20 1:5:0,45.48863588661491,700673538,17
2022-12-20 1:6:0,53.71696168369684,671744652#5,19
2022-12-20 1:6:0,45.4281536947027,859375452,19
2022-12-20 1:6:0,45.650794870503326,885610134#4,19
2022-12-20 1:6:0,42.69592290382501,-26206348#2,19
2022-12-20 1:6:0,43.40612917780988,-699926146,19
2022-12-20 1:6:0,32.883599842292895,765656384#0,19
2022-12-20 1:6:0,27.601550795449764,:6570392604_10,19
2022-12-20 1:6:0,32.71926993173799,:6572227434_5,19
2022-12-20 1:6:0,49.10659652289788,-182371964#3,19
2022-12-20 1:6:0,40.739586542311194,858935309,19
2022-12-20 1:6:0,46.79795970300901,32659640#2,19
2022-12-20 1:6:0,43.87580442850511,669890458#1-AddedOnRampEdge,19
2022-12-20 1:6:0,27.65077502364711,:286958046_10,19
2022-12-20 1:6:0,33.70202136004244,700074885#21,19
2022-12-20 1:6:0,58.19869651332639,-26195753#0,19
2022-12-20 1:6:0,13.325831396090086,28641433#3,19
2022-12-20 1:6:0,38.76850934175267,26195270#6-AddedOffRampEdge,19
2022-12-20 1:6:0,48.60449252822963,-38329665#2,19
2022-12-20 1:6:0,51.52791865544581,671744652#4,19
2022-12-20 1:7:0,52.397811132726034,25584589#2,14
2022-12-20 1:7:0,45.911034489175385,819202035,14
2022-12-20 1:7:0,42.91535238619562,883292352#1-AddedOffRampEdge,14
2022-12-20 1:7:0,51.39197861575873,699691940#10,14
2022-12-20 1:7:0,49.1794115008462,858935302,14
2022-12-20 1:7:0,51.17461683066608,850927448,14
2022-12-20 1:7:0,40.19542658616516,765656381#3,14
2022-12-20 1:7:0,47.33345729892831,37789106,14
2022-12-20 1:7:0,38.122724880127265,32691357#2,14
2022-12-20 1:7:0,46.50563329299014,669890458#7-AddedOffRampEdge,14
2022-12-20 1:7:0,33.5979645923422,32690553#2,14
2022-12-20 1:7:0,58.59679117887423,37718132#6,14
2022-12-20 1:7:0,47.83231801272896,700074885#17,14
2022-12-20 1:7:0,51.10085768679344,765656381#3,14
2022-12-20 1:8:0,44.59282012621321,939250973,14
2022-12-20 1:8:0,29.353453920366842,25746577#0,14
2022-12-20 1:8:0,41.45269566547725,564555056#7,14
2022-12-20 1:8:0,57.17075098197695,-25746624#2,14
2022-12-20 1:8:0,46.93198573083168,652130052,14
2022-12-20 1:8:0,52.06997640237259,850927457,14
2022-12-20 1:8:0,52.3057034639795,-693684932#1,14
2022-12-20 1:8:0,46.47234476350648,:664906571_0,14
2022-12-20 1:8:0,44.36576367517211,858935315,14
2022-12-20 1:8:0,42.77470461377907,669890458#18-AddedOffRampEdge,14
2022-12-20 1:8:0,37.338162527250994,:278876529_1,14
2022-12-20 1:8:0,44.60311124083181,32690553#2,14
2022-12-20 1:8:0,54.07683571333579,772236620#9,14
2022-12-20 1:8:0,48.22139577161708,650714381#5-AddedOffRampEdge,14
2022-12-20 1:9:0,23.30920074075303,:278877522_4,17
2022-12-20 1:9:0,44.20979612994388,958778139#0-AddedOnRampEdge,17
2022-12-20 1:9:0,48.31938793758318,700675428,17
2022-12-20 1:9:0,27.75388455821202,:2265599281_14,17
2022-12-20 1:9:0,42.34965929733257,850927448,17
2022-12-20 1:9:0,47.62679899793601,669890458#10,17
2022-12-20 1:9:0,51.92028344126465,564577984#5,17
2022-12-20 1:9:0,55.95102205140187,38071249#3,17
2022-12-20 1:9:0,46.60844367642568,:1927165522_0,17
2022-12-20 1:9:0,43.74152254971144,32690553#0,17
2022-12-20 1:9:0,45.79215179014229,858935309,17
2022-12-20 1:9:0,0.0,28616980#1,17
2022-12-20 1:9:0,51.93960608000825,772236620#15,17
2022-12-20 1:9:0,46.888292308589776,-32692001#5,17
2022-12-20 1:9:0,17.896748645668648,652036314,17
2022-12-20 1:9:0,44.881606282680906,850927453#1,17
2022-12-20 1:9:0,52.65315495376057,37099917#1,17
2022-12-20 1:10:0,31.79026537170634,-29982444#3,17
2022-12-20 1:10:0,46.17684988160067,41336031#4-AddedOffRampEdge,17
2022-12-20 1:10:0,42.384307600190034,37718805#2,17
2022-12-20 1:10:0,50.27386694780007,25584523#5,17
2022-12-20 1:10:0,27.933901285226046,:8771565283_0,17
2022-12-20 1:10:0,43.6528913962901,850927457,17
2022-12-20 1:10:0,48.89001774364011,940974903#8,17
2022-12-20 1:10:0,48.626577983287845,26203214#0,17
2022-12-20 1:10:0,52.49299998486011,-182371965#4,17
2022-12-20 1:10:0,54.363970057579195,885610134#4-AddedOffRampEdge,17
2022-12-20 1:10:0,46.66447713180127,650714381#4,17
2022-12-20 1:10:0,47.905294434160226,26206307#0,17
2022-12-20 1:10:0,57.46330005419023,-182371966#1,17
2022-12-20 1:10:0,52.619103127969,37099917#6,17
2022-12-20 1:10:0,34.18643224159156,25746572#2,17
2022-12-20 1:10:0,19.211086068292243,-32692001#0,17
2022-12-20 1:10:0,54.22163262928418,25584650#1,17
2022-12-20 1:11:0,45.26366122106691,-182371959#1,16
2022-12-20 1:11:0,44.08879324311246,765656384#1,16
2022-12-20 1:11:0,44.17269758521123,858935315,16
2022-12-20 1:11:0,48.697607772599596,858935302,16
2022-12-20 1:11:0,43.5989226865549,564577984#4,16
2022-12-20 1:11:0,48.37390685322869,26195744#10,16
2022-12-20 1:11:0,51.39260393814043,958778139#0,16
2022-12-20 1:11:0,36.178635521916085,765656384#0,16
2022-12-20 1:11:0,52.03242972813218,939250966#10-AddedOnRampEdge,16
2022-12-20 1:11:0,46.790728431853076,:330056175_3,16
2022-12-20 1:11:0,26.9524321252855,:8771565241_3,16
2022-12-20 1:11:0,54.57838401676669,-29982383#4,16
2022-12-20 1:11:0,52.8413387193899,858935315,16
2022-12-20 1:11:0,34.00230404900287,25746572#6,16
2022-12-20 1:11:0,48.21100481954872,32690567#15,16
2022-12-20 1:11:0,52.63785360285594,671744652#2,16
