dateandtime,spdK/m,edge,vehDen
2022-12-7 16:2:0,51.65545360798744,41336031#14,211
2022-12-7 16:2:0,46.9091002813675,850927453#4,211
2022-12-7 16:2:0,47.87554455432536,564555056#0,211
2022-12-7 16:2:0,49.72067171153575,25746638#5,211
2022-12-7 16:2:0,39.98030729026754,669890462#13,211
2022-12-7 16:2:0,42.50732510486708,940974903#3,211
2022-12-7 16:2:0,44.757856451212675,894550195#2,211
2022-12-7 16:2:0,43.69649393044791,700673538,211
2022-12-7 16:2:0,53.63282844061499,819585395#8,211
2022-12-7 16:2:0,52.75569501587646,37711813#6,211
2022-12-7 16:2:0,38.40692268328626,:6572227434_5,211
2022-12-7 16:2:0,46.9584705032768,-699921235#0,211
2022-12-7 16:2:0,50.591085984502726,858935302,211
2022-12-7 16:2:0,41.270536134054204,819221586#2,211
2022-12-7 16:2:0,50.73067694909307,29909499#4-AddedOnRampEdge,211
2022-12-7 16:2:0,49.22962653465601,939250966#3,211
2022-12-7 16:2:0,41.74038724993399,885610134#4-AddedOffRampEdge,211
2022-12-7 16:2:0,47.30442852541428,947628162#3,211
2022-12-7 16:2:0,51.10502459601086,178336809#10,211
2022-12-7 16:2:0,46.883714062113626,:6474887550_0,211
2022-12-7 16:2:0,51.17863818062407,26729390#1,211
2022-12-7 16:2:0,35.602635003688164,32690591#1,211
2022-12-7 16:2:0,48.488231934684556,-26203176#0,211
2022-12-7 16:2:0,14.196519043156876,28582641#0,211
2022-12-7 16:2:0,39.00860500270329,29982808#3,211
2022-12-7 16:2:0,40.26828840025615,669890462#5,211
2022-12-7 16:2:0,44.072009580913566,888807595#1-AddedOnRampEdge,211
2022-12-7 16:2:0,41.10008696033505,772236620#5,211
2022-12-7 16:2:0,52.90060229785909,939250966#0-AddedOffRampEdge,211
2022-12-7 16:2:0,42.90506815122159,669890458#1-AddedOnRampEdge,211
2022-12-7 16:2:0,42.3876603209129,:8006884404_1,211
2022-12-7 16:2:0,61.67284460738343,28582639#9,211
2022-12-7 16:2:0,50.790212616527796,939250966#0-AddedOffRampEdge,211
2022-12-7 16:2:0,52.43712888373286,939250966#10-AddedOnRampEdge,211
2022-12-7 16:2:0,43.01141879079612,32690576#1,211
2022-12-7 16:2:0,45.08576576749858,700074885#9,211
2022-12-7 16:2:0,55.22978446257543,700673538,211
2022-12-7 16:2:0,47.43815713805084,41336031#8,211
2022-12-7 16:2:0,44.401581677695255,858935315,211
