dateandtime,spdK/m,edge,vehDen
2022-12-8 15:2:0,40.81614056050288,765656384#1,140
2022-12-8 15:2:0,0.0,859375457#4,140
2022-12-8 15:2:0,47.73311448601811,859375452,140
2022-12-8 15:2:0,42.066570701674024,772236620#21-AddedOffRampEdge,140
2022-12-8 15:2:0,43.084380584095626,24958252#0,140
2022-12-8 15:2:0,49.82302281919863,564555056#0,140
2022-12-8 15:2:0,36.00953840494918,699651628#2,140
2022-12-8 15:2:0,45.07629240608543,-28641593#1,140
2022-12-8 15:2:0,49.83413452893082,700074885#0-AddedOnRampEdge,140
2022-12-8 15:2:0,45.35710373698475,669890462#13,140
2022-12-8 15:2:0,51.81119474912256,858935309,140
2022-12-8 15:2:0,15.460910922966287,32690591#1,140
2022-12-8 15:2:0,51.92321929875381,670279140#1,140
2022-12-8 15:2:0,47.193754170891886,25584650#1,140
2022-12-8 15:2:0,38.30891291416884,-217280781#3,140
2022-12-8 15:2:0,44.361086352951155,182371968#3,140
2022-12-8 15:2:0,49.273203504963355,-182371956#4,140
2022-12-8 15:2:0,44.48021770278727,41669755#6,140
2022-12-8 15:2:0,45.73513111093645,700074885#23-AddedOffRampEdge,140
2022-12-8 15:2:0,44.00200342876428,652130052,140
2022-12-8 15:2:0,31.408581521190637,26195270#4,140
2022-12-8 15:2:0,52.990536442444686,772236620#7,140
2022-12-8 15:2:0,42.019882586319476,32691561#7,140
2022-12-8 15:2:0,33.06987607446314,:6570524732_1,140
2022-12-8 15:2:0,50.23437503087466,25746632#8,140
2022-12-8 15:2:0,54.5360624259253,863793424,140
2022-12-8 15:2:0,43.0536143352833,939250966#14,140
2022-12-8 15:2:0,55.33704228666043,700074885#15,140
2022-12-8 15:2:0,44.111963697386294,669890458#18,140
2022-12-8 15:2:0,28.133713802783713,-35584002#1,140
2022-12-8 15:2:0,51.65427643998219,772236620#7,140
2022-12-8 15:2:0,41.41402804440614,26203214#4,140
2022-12-8 15:2:0,3.474034317786176,26203057,140
2022-12-8 15:2:0,44.529079006942666,894550197#3-AddedOnRampEdge,140
2022-12-8 15:2:0,45.40040375992173,41336031#2,140
2022-12-8 15:2:0,39.96262462781377,939250973-AddedOffRampEdge,140
2022-12-8 15:2:0,51.04362909337731,28495635#0,140
2022-12-8 15:2:0,45.45667795115671,700074885#13,140
2022-12-8 15:2:0,56.16178165432965,25746572#9,140
2022-12-8 15:2:0,37.48772730585619,32690567#2,140
2022-12-8 15:2:0,42.96530232061411,671744652#2-AddedOnRampEdge,140
2022-12-8 15:2:0,43.06974005368084,28582639#13,140
2022-12-8 15:2:0,43.998253501023754,765656381#1,140
2022-12-8 15:2:0,41.12067474739256,700675428,140
2022-12-8 15:2:0,4.789241313356906,52299519,140
2022-12-8 15:2:0,46.75948952261983,859375453,140
2022-12-8 15:2:0,0.0,859375457#4,140
2022-12-8 15:2:0,41.735763668077375,393878336#0,140
2022-12-8 15:2:0,3.525231186631339,37099139#5,140
2022-12-8 15:2:0,49.57803300997389,41336031#14,140
2022-12-8 15:2:0,46.96288416643096,26253959#2,140
2022-12-8 15:2:0,36.41982898775241,28582639#5,140
2022-12-8 15:2:0,50.104516054569174,-37099917#1,140
2022-12-8 15:2:0,39.52498496168531,32691445#4-AddedOnRampEdge,140
2022-12-8 15:2:0,34.599337385889484,:8700679582_0,140
2022-12-8 15:2:0,44.29193574382314,669984029,140
2022-12-8 15:2:0,42.516816244304906,32690553#3,140
2022-12-8 15:2:0,36.5161528309009,819202035,140
2022-12-8 15:2:0,44.82234272556867,-182371948#1,140
2022-12-8 15:2:0,40.78569404723289,939250971,140
2022-12-8 15:2:0,48.806098071729494,971350102#1,140
2022-12-8 15:2:0,32.02534286281778,939250971,140
2022-12-8 15:2:0,4.145593650192287,765656381#5,140
2022-12-8 15:2:0,42.25077328353466,-28886503#7,140
2022-12-8 15:2:0,44.63463805517265,819585395#10,140
2022-12-8 15:2:0,28.51103748869151,41336031#8,140
2022-12-8 15:2:0,55.47581771761514,701104139#4,140
2022-12-8 15:2:0,42.607600455904574,-26253870#5,140
2022-12-8 15:2:0,49.03861260313337,858935302,140
2022-12-8 15:2:0,51.32887248135004,52244427#14,140
2022-12-8 15:2:0,53.798471738509704,939250978#1-AddedOnRampEdge,140
2022-12-8 15:2:0,46.61788463832438,:271214710_0,140
2022-12-8 15:2:0,41.915001647630056,700074885#28,140
2022-12-8 15:2:0,42.909101132791136,850971995,140
2022-12-8 15:2:0,52.35500182426022,700074885#13,140
2022-12-8 15:2:0,44.5704263267975,:6574844070_0,140
2022-12-8 15:2:0,33.90335044981402,217280770#4,140
2022-12-8 15:2:0,48.37894068192776,37711813#3,140
2022-12-8 15:2:0,43.14893004526319,671744652#2-AddedOnRampEdge,140
2022-12-8 15:2:0,42.67422225656457,:367888403_0,140
2022-12-8 15:2:0,47.837762660496985,:286921499_1,140
2022-12-8 15:2:0,41.96629160464852,890774197#1,140
2022-12-8 15:2:0,38.9598874859654,819585395#8,140
2022-12-8 15:2:0,45.90557118800059,25584650#3,140
2022-12-8 15:2:0,44.546119878313874,700074885#0,140
2022-12-8 15:2:0,42.408204692860636,885610134#4,140
2022-12-8 15:2:0,46.206652004826665,:6572611778_0,140
2022-12-8 15:2:0,48.09264003698851,564555056#0,140
2022-12-8 15:2:0,46.353191968134595,28582639#9-AddedOnRampEdge,140
2022-12-8 15:2:0,3.7987635544451064,-675106503,140
2022-12-8 15:2:0,0.0,947628159#3,140
2022-12-8 15:2:0,25.469896875801243,32226001#1,140
2022-12-8 15:2:0,42.68493354310973,654745275#2,140
2022-12-8 15:2:0,53.45162134649259,768258462#0,140
2022-12-8 15:2:0,44.36856181436273,-182371965#5,140
2022-12-8 15:2:0,21.422062576253232,-654745267,140
2022-12-8 15:2:0,44.49060054278188,38550723#0,140
2022-12-8 15:2:0,0.9235145783599341,871810534,140
2022-12-8 15:2:0,46.55107546857311,819202035,140
2022-12-8 15:2:0,45.179172282775774,819202035,140
2022-12-8 15:2:0,50.31256380490356,770590111#2,140
2022-12-8 15:2:0,46.6843420396961,52244427#10,140
2022-12-8 15:2:0,49.87541527214711,:415861878_0,140
2022-12-8 15:2:0,52.37006824672008,26203214#4-AddedOffRampEdge,140
2022-12-8 15:2:0,41.93272251802464,564577984#3-AddedOffRampEdge,140
2022-12-8 15:2:0,54.1855628877141,-35583974#1,140
2022-12-8 15:2:0,38.20918741726269,-217280773#3,140
2022-12-8 15:2:0,42.8585374738458,885839350#0-AddedOffRampEdge,140
2022-12-8 15:2:0,0.0,859375457#4,140
2022-12-8 15:2:0,41.43476985761127,564555056#7,140
2022-12-8 15:2:0,44.0051929422698,41669755#3,140
2022-12-8 15:2:0,0.0,859375457#4,140
2022-12-8 15:2:0,48.6521135159627,859375453,140
2022-12-8 15:2:0,52.44201804236649,701104139#6-AddedOffRampEdge,140
2022-12-8 15:2:0,35.04623449200709,41669755#2,140
2022-12-8 15:2:0,36.78731078467588,866221637#1,140
2022-12-8 15:2:0,55.82382377802997,885610137,140
2022-12-8 15:2:0,44.585229110949534,:6572227434_4,140
2022-12-8 15:2:0,36.07659380066952,26195270#4,140
2022-12-8 15:2:0,51.98207146389386,-25746588#9,140
2022-12-8 15:2:0,47.05697640737839,:8700766893_2,140
2022-12-8 15:2:0,51.12917041492868,32691782#1,140
2022-12-8 15:2:0,45.35288047392816,41336031#4-AddedOffRampEdge,140
2022-12-8 15:2:0,50.94208714234799,564555056#7,140
2022-12-8 15:2:0,40.5769707093684,26203214#4,140
2022-12-8 15:2:0,38.55836594912527,32691832#6,140
2022-12-8 15:2:0,43.33401708576027,25746638#1,140
2022-12-8 15:2:0,51.62748067187396,940974903#3-AddedOnRampEdge,140
2022-12-8 15:2:0,23.156550549091776,:1642458567_3,140
2022-12-8 15:2:0,49.9864577773393,:8120282289_1,140
2022-12-8 15:2:0,49.377462182378466,28582639#13,140
2022-12-8 15:2:0,56.051849007283565,37789102#2,140
2022-12-8 15:2:0,43.72991477955356,26203214#3-AddedOnRampEdge,140
2022-12-8 15:2:0,37.550537643518126,32690553#0,140
2022-12-8 15:2:0,42.99920357539863,32691762#0,140
2022-12-8 15:2:0,51.75026441419258,765656381#3-AddedOnRampEdge,140
2022-12-8 15:2:0,37.140453159623476,26195270#4,140
2022-12-8 15:2:0,0.0,947628159#3,140
2022-12-8 15:2:0,48.35532718848668,41336031#10,140
2022-12-8 15:2:0,43.13838364497971,-28826000#5,140
2022-12-8 15:3:0,40.014268900123184,858935302,138
2022-12-8 15:3:0,0.0,859375457#4,138
2022-12-8 15:3:0,46.56856673407173,819221583,138
2022-12-8 15:3:0,44.2892109958241,656524350,138
2022-12-8 15:3:0,49.01511538605202,670273857#0,138
2022-12-8 15:3:0,54.73264837568919,699863679#2,138
2022-12-8 15:3:0,36.65361635153943,25584650#1,138
2022-12-8 15:3:0,48.165797963289094,-217280773#3,138
2022-12-8 15:3:0,45.638888387909226,772236620#9,138
