dateandtime,spdK/m,edge,vehDen
2022-12-18 18:2:0,36.628729290220924,:664906571_0,582
2022-12-18 18:2:0,53.483943838135964,:cluster_284142560_492400840_8768432608_8768432610_0,582
2022-12-18 18:2:0,50.40149024925028,52244427#10,582
2022-12-18 18:2:0,3.7818706350673503,-182371955#0,582
2022-12-18 18:2:0,27.39249475728527,41336031#4-AddedOffRampEdge,582
2022-12-18 18:2:0,51.5476212727603,-688162152,582
2022-12-18 18:2:0,0.0,206000690#0,582
2022-12-18 18:2:0,42.25197935427391,35584785#3,582
2022-12-18 18:2:0,42.59747920675736,28582639#13,582
2022-12-18 18:2:0,43.06188930752367,885948880#0,582
2022-12-18 18:2:0,47.41318591950488,772236620#7,582
2022-12-18 18:2:0,44.50493455058675,307882386#0,582
2022-12-18 18:2:0,51.55729158783286,940974902#0,582
2022-12-18 18:2:0,45.77627763536168,850927453#3-AddedOffRampEdge,582
2022-12-18 18:2:0,44.501035854477664,:492513790_1,582
2022-12-18 18:2:0,47.785832011682565,772236620#24,582
2022-12-18 18:2:0,44.72189303999471,41336031#2,582
2022-12-18 18:2:0,47.94293686616716,700673538,582
2022-12-18 18:2:0,58.715404850702015,772236620#6,582
2022-12-18 18:2:0,51.10426353872345,32690553#5,582
2022-12-18 18:2:0,46.91783092237239,906984715#1,582
2022-12-18 18:2:0,50.012433426040076,700673538,582
2022-12-18 18:2:0,48.90833045962366,654419620#1,582
2022-12-18 18:2:0,40.15194514648243,41669755#5,582
2022-12-18 18:2:0,35.32532872633941,26451056#0,582
2022-12-18 18:2:0,50.55635682440718,37711813#5-AddedOffRampEdge,582
2022-12-18 18:2:0,42.13685724306125,669890462#13,582
2022-12-18 18:2:0,40.43689919801045,772236620#19,582
2022-12-18 18:2:0,55.41547828183844,41336031#4,582
2022-12-18 18:2:0,50.28964078849166,819221586#3,582
2022-12-18 18:2:0,41.413431913988695,28582639#13,582
2022-12-18 18:2:0,51.9665550832719,52244427#7,582
2022-12-18 18:2:0,37.09712117277915,940974902#0,582
2022-12-18 18:2:0,43.728093616615055,28582639#11,582
2022-12-18 18:2:0,50.80233434698275,:2251061798_7,582
2022-12-18 18:2:0,50.93902100360101,888807595#1-AddedOnRampEdge,582
2022-12-18 18:2:0,35.3568232714329,-26195753#4,582
2022-12-18 18:2:0,51.12595650994292,52244427#12,582
2022-12-18 18:2:0,31.82108202608841,:8871363611_3,582
2022-12-18 18:2:0,45.6539748282959,25584650#3,582
2022-12-18 18:2:0,44.12107274198146,939250965#0,582
2022-12-18 18:2:0,53.237823060980745,885610134#4,582
2022-12-18 18:2:0,51.27010880567931,564577984#2,582
2022-12-18 18:2:0,53.651187561896776,669890458#3,582
2022-12-18 18:2:0,46.73004763275835,669890458#18-AddedOffRampEdge,582
2022-12-18 18:2:0,46.25506373880793,939250966#10-AddedOnRampEdge,582
2022-12-18 18:2:0,54.873253817839405,772236620#7,582
2022-12-18 18:2:0,48.87109567611132,885610134#4,582
2022-12-18 18:2:0,43.18284301341417,-37099917#6,582
2022-12-18 18:2:0,40.93382946293575,772236620#14,582
2022-12-18 18:2:0,42.34541112821219,885948880#0,582
2022-12-18 18:2:0,0.0,765656381#3-AddedOnRampEdge,582
2022-12-18 18:2:0,42.14928801501115,564577984#5,582
2022-12-18 18:2:0,29.91021908553788,:7937296074_0,582
2022-12-18 18:2:0,42.94785684574275,25746638#3,582
2022-12-18 18:2:0,47.28219561533967,819202035,582
2022-12-18 18:2:0,47.902587199781166,819585395#8,582
2022-12-18 18:2:0,47.23422505025214,-699695781#0,582
2022-12-18 18:2:0,0.0,765656381#5,582
2022-12-18 18:2:0,47.811873308926465,37718132#3,582
2022-12-18 18:2:0,53.09328366002999,25584525#21,582
2022-12-18 18:2:0,44.67602935060658,700673538,582
2022-12-18 18:2:0,53.63682313998677,:6569939808_0,582
2022-12-18 18:2:0,39.62653043365404,700673538,582
2022-12-18 18:2:0,46.10102076630669,700673538,582
2022-12-18 18:2:0,0.0,765656381#3-AddedOnRampEdge,582
2022-12-18 18:2:0,0.0,765656381#3,582
2022-12-18 18:2:0,0.0,765656381#3,582
2022-12-18 18:2:0,39.735525807937506,28582639#9-AddedOnRampEdge,582
2022-12-18 18:2:0,41.56431255992314,29909499#4-AddedOnRampEdge,582
2022-12-18 18:2:0,0.0,765656381#3,582
2022-12-18 18:2:0,49.52159600429325,669890458#11,582
2022-12-18 18:2:0,0.0,765656381#3,582
2022-12-18 18:2:0,46.14591702201511,850839746,582
2022-12-18 18:2:0,40.42168484162427,669890462#15-AddedOffRampEdge,582
2022-12-18 18:2:0,47.38182611345968,28582639#9,582
2022-12-18 18:2:0,47.36448550587921,700673538,582
2022-12-18 18:2:0,0.019678707788477773,26253959#2,582
2022-12-18 18:2:0,50.32427292917741,700673538,582
2022-12-18 18:2:0,55.260227602799,52244427#10,582
2022-12-18 18:2:0,51.02651183008719,700074885#5,582
2022-12-18 18:2:0,53.89472213349747,656524350,582
2022-12-18 18:2:0,17.052163785827354,25584525#15,582
2022-12-18 18:2:0,44.13427108316785,28582639#5,582
2022-12-18 18:2:0,49.67991937773725,858935302,582
2022-12-18 18:2:0,0.0,-28886503#3,582
2022-12-18 18:2:0,49.18604572682454,25584530#0,582
2022-12-18 18:2:0,54.627451655328564,699863679#0,582
2022-12-18 18:2:0,50.18424507811171,669890462#5,582
2022-12-18 18:2:0,0.0,765656381#3,582
2022-12-18 18:2:0,37.02664871296173,939250971,582
2022-12-18 18:2:0,51.091086456627124,669890458#1,582
2022-12-18 18:2:0,46.07002031679821,859375457#3-AddedOnRampEdge,582
2022-12-18 18:2:0,41.262755637573406,819585395#14-AddedOffRampEdge,582
2022-12-18 18:2:0,46.87436415992716,37718132#6,582
2022-12-18 18:2:0,28.363058720703677,:314795390_7,582
2022-12-18 18:2:0,40.4193040336008,25584589#3,582
2022-12-18 18:2:0,50.631915191910345,894550194#3,582
2022-12-18 18:2:0,49.38228796271696,25584589#5,582
2022-12-18 18:2:0,37.55830857967297,669890462#15-AddedOffRampEdge,582
2022-12-18 18:2:0,41.74132741900009,819202035,582
2022-12-18 18:2:0,44.276810704450796,178336809#7,582
2022-12-18 18:2:0,48.37447058867884,:7937930894_0,582
2022-12-18 18:2:0,42.83943366162291,178336809#8,582
2022-12-18 18:2:0,45.289122956393165,:cluster_314796298_314796350_314796427_5,582
2022-12-18 18:2:0,0.0,765656381#3,582
2022-12-18 18:2:0,45.634548716733285,26203057,582
2022-12-18 18:2:0,44.85182685543668,-217280772#5,582
2022-12-18 18:2:0,0.010387165595154138,32690591#1,582
2022-12-18 18:2:0,38.45278294723481,41669755#4,582
2022-12-18 18:2:0,50.07601042271931,564577984#3-AddedOffRampEdge,582
2022-12-18 18:2:0,50.596959008019894,26193439#2,582
2022-12-18 18:2:0,54.741850242937986,41336031#8,582
2022-12-18 18:2:0,37.37549887966096,939250966#10,582
2022-12-18 18:2:0,39.596433762531426,859375453,582
2022-12-18 18:2:0,49.107179390571766,-26195719#4,582
2022-12-18 18:2:0,49.25217185184937,25584650#1,582
2022-12-18 18:2:0,49.76438818831471,564555056#0-AddedOffRampEdge,582
2022-12-18 18:2:0,3.505786487307549,32690591#1,582
2022-12-18 18:2:0,57.33830121198433,32690553#0,582
2022-12-18 18:2:0,48.72945921580821,25746572#4,582
2022-12-18 18:2:0,43.53877120465686,:278877041_6,582
2022-12-18 18:2:0,46.25377379087462,-26203057,582
2022-12-18 18:2:0,32.18839833013461,32691561#1,582
2022-12-18 18:2:0,25.770615242275817,26203057,582
2022-12-18 18:2:0,53.13524152703507,-26203176#0,582
2022-12-18 18:2:0,44.27893903835459,-26203057,582
2022-12-18 18:2:0,49.21625116630187,-26203057,582
2022-12-18 18:2:0,46.218037869019255,28582639#5,582
2022-12-18 18:2:0,51.71814965512406,-215628990#1,582
2022-12-18 18:2:0,22.634444074798377,-26221563#0,582
2022-12-18 18:2:0,49.10114632858408,947628162#0,582
2022-12-18 18:2:0,0.0,947628159#0,582
2022-12-18 18:2:0,27.70544999225065,28583806#1,582
2022-12-18 18:2:0,40.375889271262324,701104139#6-AddedOffRampEdge,582
2022-12-18 18:2:0,0.0,650705746,582
2022-12-18 18:2:0,41.789843295799606,700074885#0,582
2022-12-18 18:2:0,37.64455056619124,772236620#15,582
2022-12-18 18:2:0,32.933216965348635,-25584641,582
2022-12-18 18:2:0,0.0,650714381#2-AddedOffRampEdge,582
2022-12-18 18:2:0,52.891755898754745,26451056#0,582
2022-12-18 18:2:0,53.00990936151772,859375452,582
2022-12-18 18:2:0,22.13439660236255,705357186#1,582
2022-12-18 18:2:0,0.0,765656381#3-AddedOnRampEdge,582
2022-12-18 18:2:0,29.2469589100253,:4325416158_3,582
2022-12-18 18:2:0,35.5557618749431,41336031#14,582
2022-12-18 18:2:0,42.29745036106199,850927448,582
2022-12-18 18:2:0,50.71965334655067,888807595#4,582
2022-12-18 18:2:0,0.0,26729390#3,582
2022-12-18 18:2:0,49.079784879710736,37099917#2,582
2022-12-18 18:2:0,50.007788878799566,885610134#4,582
2022-12-18 18:2:0,35.40967438572084,669890462#1,582
2022-12-18 18:2:0,51.07585461584706,850927453#2-AddedOnRampEdge,582
2022-12-18 18:2:0,3.213204346187399,:cluster_367888411_4325417675_0,582
2022-12-18 18:2:0,0.0,765656381#3,582
2022-12-18 18:2:0,48.494121291038915,226118560#1,582
2022-12-18 18:2:0,38.9207802332313,25584530#2,582
2022-12-18 18:2:0,43.23625568228151,700074885#19,582
2022-12-18 18:2:0,42.565988133224934,41336031#10,582
2022-12-18 18:2:0,49.995863409576195,28582639#7-AddedOffRampEdge,582
2022-12-18 18:2:0,22.343617644645274,770590111#2,582
2022-12-18 18:2:0,39.2630501503005,700084841#3,582
2022-12-18 18:2:0,0.0,765656381#3,582
2022-12-18 18:2:0,39.44850141990169,700084841#3,582
2022-12-18 18:2:0,44.704753183461605,38071249#3,582
2022-12-18 18:2:0,47.9585409116365,700673538,582
2022-12-18 18:2:0,41.91750174317797,:28495635#0-AddedOffRampNode_0,582
2022-12-18 18:2:0,51.79249696175847,362239132,582
2022-12-18 18:2:0,46.578555313780775,939250978#0,582
2022-12-18 18:2:0,49.323210224555204,:29982808#3-AddedOnRampNode_0,582
2022-12-18 18:2:0,17.753002755637308,675093183#2,582
2022-12-18 18:2:0,33.62222279262631,38658729,582
2022-12-18 18:2:0,45.42859744555602,700675428,582
2022-12-18 18:2:0,44.16891013381894,28664899,582
2022-12-18 18:2:0,0.0,-182371968#5,582
2022-12-18 18:2:0,37.76746969555204,700074885#5,582
2022-12-18 18:2:0,59.68016825422902,26520995,582
2022-12-18 18:2:0,52.804444985741085,:367890731_0,582
2022-12-18 18:2:0,0.0,:765656381#3-AddedOnRampNode_0,582
2022-12-18 18:2:0,52.216744481704914,-26253870#7,582
2022-12-18 18:2:0,51.982708351849936,:456348664_0,582
2022-12-18 18:2:0,42.44404959973743,700074885#0-AddedOnRampEdge,582
2022-12-18 18:2:0,42.10460857105798,28582639#13,582
2022-12-18 18:2:0,54.11851600629236,29909499#1-AddedOnRampEdge,582
2022-12-18 18:2:0,45.67343571989225,772236620#21,582
2022-12-18 18:2:0,42.97930116017505,29982808#3,582
2022-12-18 18:2:0,0.0,765656381#3,582
2022-12-18 18:2:0,53.27187993994292,564555056#7,582
2022-12-18 18:2:0,44.52657328299666,38071249#0,582
2022-12-18 18:2:0,36.186350530927115,819221586#2-AddedOnRampEdge,582
2022-12-18 18:2:0,0.0,182371968#2,582
2022-12-18 18:2:0,36.12220584694555,700673538,582
2022-12-18 18:2:0,34.90658939096332,701104139#5,582
2022-12-18 18:2:0,51.779257573209314,940974902#0,582
2022-12-18 18:2:0,47.2931379721849,699926147#9,582
2022-12-18 18:2:0,48.81625054501896,939250966#10-AddedOnRampEdge,582
2022-12-18 18:2:0,42.465127127462765,26195270#4,582
2022-12-18 18:2:0,40.0444368016621,25584526#2,582
2022-12-18 18:2:0,53.872041096018876,-674887386#2,582
2022-12-18 18:2:0,46.89344598830424,906984715#1,582
2022-12-18 18:2:0,0.0,650705746,582
2022-12-18 18:2:0,0.0,650705746,582
2022-12-18 18:2:0,0.0,947628159#3,582
2022-12-18 18:2:0,26.671612590599793,32690553#2,582
2022-12-18 18:2:0,51.16071147310295,32690567#13,582
2022-12-18 18:2:0,47.92029133922097,26203057,582
2022-12-18 18:2:0,43.561371045775736,669890462#0,582
2022-12-18 18:2:0,39.37035802868471,669890462#9,582
2022-12-18 18:2:0,49.84164750200371,25584650#1,582
2022-12-18 18:2:0,46.201551333352896,26520591#0,582
2022-12-18 18:2:0,48.477501427664656,885610134#4,582
