dateandtime,spdK/m,edge,vehDen
2022-12-9 17:2:0,54.734178155856284,700673538,302
2022-12-9 17:2:0,42.76694746039783,885610134#4,302
2022-12-9 17:2:0,0.0,947628159#3,302
2022-12-9 17:2:0,49.95148446644358,41336031#14,302
2022-12-9 17:2:0,57.082267543804534,24958252#0,302
2022-12-9 17:2:0,45.037217244999226,772236620#2,302
2022-12-9 17:2:0,43.43966527322044,859375453,302
2022-12-9 17:2:0,52.06982764137515,652130052,302
2022-12-9 17:2:0,52.46283914912671,906984715#1,302
2022-12-9 17:2:0,45.71804688290897,25746638#4,302
2022-12-9 17:2:0,0.0,947628159#0,302
2022-12-9 17:2:0,55.80533262434976,37711813#3,302
2022-12-9 17:2:0,47.28951000534564,669890458#6,302
2022-12-9 17:2:0,48.37388168458254,41336031#4,302
2022-12-9 17:2:0,44.913334839047465,859375452,302
2022-12-9 17:2:0,44.92778267785455,52244427#10,302
2022-12-9 17:2:0,50.43753920176154,:2251061830_4,302
2022-12-9 17:2:0,43.26885058342485,28582639#11,302
2022-12-9 17:2:0,37.917611237950354,-29982392#1,302
2022-12-9 17:2:0,38.52965565746226,700074885#23-AddedOffRampEdge,302
2022-12-9 17:2:0,41.34126816208483,669890462#1,302
2022-12-9 17:2:0,49.829463486589326,939250978#1,302
2022-12-9 17:2:0,8.786708915098592,700145115#2,302
2022-12-9 17:2:0,43.44492220687728,37099917#1,302
2022-12-9 17:2:0,45.92130130300002,178336809#7,302
2022-12-9 17:2:0,38.62365471669397,699935036,302
2022-12-9 17:2:0,48.654940255623806,-182371948#0,302
2022-12-9 17:2:0,0.0,650705746,302
2022-12-9 17:2:0,0.0,765656381#5,302
2022-12-9 17:2:0,0.0,765656381#5,302
2022-12-9 17:2:0,50.79979702281197,939250966#10-AddedOnRampEdge,302
2022-12-9 17:2:0,46.896958449919445,885610134#4,302
2022-12-9 17:2:0,0.0,765656381#5,302
2022-12-9 17:2:0,42.37233111475669,656524350,302
2022-12-9 17:2:0,46.055564427486644,700074885#23-AddedOffRampEdge,302
