dateandtime,spdK/m,edge,vehDen
2022-12-9 2:2:0,42.395704261049204,369243433#2,18
2022-12-9 2:2:0,49.78555991968815,32659640#2,18
2022-12-9 2:2:0,41.38454958510057,669890462#11,18
2022-12-9 2:2:0,48.669731389549206,885839351#0,18
2022-12-9 2:2:0,55.59003088385453,819585395#14-AddedOffRampEdge,18
2022-12-9 2:2:0,57.504984228273734,700675428,18
2022-12-9 2:2:0,53.24082028323515,25746572#4,18
2022-12-9 2:2:0,52.15450865341371,:286921499_1,18
2022-12-9 2:2:0,48.09488344467317,858915973#1-AddedOnRampEdge,18
2022-12-9 2:2:0,51.29328701603969,26026754#1,18
2022-12-9 2:2:0,55.8683268422788,850927457,18
2022-12-9 2:2:0,47.09704384646425,939250973,18
2022-12-9 2:2:0,57.011075031698134,26026810#2,18
2022-12-9 2:2:0,50.238044916819476,26195744#10,18
2022-12-9 2:2:0,47.76923309865538,894550194#3-AddedOffRampEdge,18
2022-12-9 2:2:0,47.5002529208002,671744652#3,18
2022-12-9 2:2:0,30.025951130573947,40579529#1,18
2022-12-9 2:2:0,41.54940315649572,772236620#21,18
2022-12-9 2:3:0,47.48416893770662,28582639#13,22
2022-12-9 2:3:0,41.03295700463462,-26206348#2,22
2022-12-9 2:3:0,41.140753348603475,:669890462#15-AddedOffRampNode_0,22
2022-12-9 2:3:0,48.71362649310811,850927453#3-AddedOffRampEdge,22
2022-12-9 2:3:0,53.014784442499554,37789107#3,22
2022-12-9 2:3:0,56.51824891669477,700673538,22
2022-12-9 2:3:0,52.38312256569994,:415861878_0,22
2022-12-9 2:3:0,49.979698411443074,940974902#0,22
2022-12-9 2:3:0,45.46542085753826,669890458#10-AddedOnRampEdge,22
2022-12-9 2:3:0,53.52595645537609,669890458#7-AddedOffRampEdge,22
2022-12-9 2:3:0,41.651642545705634,-217280783#0,22
2022-12-9 2:3:0,45.86173308205257,669984030,22
2022-12-9 2:3:0,0.4598097067816335,37789114,22
2022-12-9 2:3:0,51.88913197587481,863793425#0,22
2022-12-9 2:3:0,44.3722491875416,772236620#6,22
2022-12-9 2:3:0,50.68220597184233,-215628998#2,22
2022-12-9 2:3:0,44.97595170410219,:8006884404_0,22
2022-12-9 2:3:0,47.01325568920126,765656381#3,22
2022-12-9 2:3:0,34.240519900906214,-363326175#1,22
2022-12-9 2:3:0,40.48371220808204,939250971,22
2022-12-9 2:3:0,51.795084773110496,700074885#13,22
2022-12-9 2:3:0,34.180526047255846,26195719#3,22
2022-12-9 2:4:0,39.839849174314686,37711813#3,22
2022-12-9 2:4:0,49.937438517368626,38071249#0,22
2022-12-9 2:4:0,43.93640909520905,859375452,22
2022-12-9 2:4:0,41.20919126185924,-25746588#8,22
2022-12-9 2:4:0,39.693185927919856,-26195767#2,22
2022-12-9 2:4:0,47.53237257758586,700673538,22
2022-12-9 2:4:0,57.93877792234335,894550197#3-AddedOnRampEdge,22
2022-12-9 2:4:0,16.276570231418997,40579529#0,22
2022-12-9 2:4:0,52.83985313435345,669890462#0,22
2022-12-9 2:4:0,50.815570664880894,669890462#1,22
2022-12-9 2:4:0,45.39591627733966,28582639#5,22
2022-12-9 2:4:0,51.42158009947515,26203214#3-AddedOnRampEdge,22
2022-12-9 2:4:0,41.127325832198544,654745276#2,22
2022-12-9 2:4:0,48.883374467386055,26520995,22
2022-12-9 2:4:0,44.22949550759367,363326171#0,22
2022-12-9 2:4:0,47.29394818525891,858935302,22
2022-12-9 2:4:0,49.62540433140596,182371972,22
2022-12-9 2:4:0,41.27960207268573,217280781#3,22
2022-12-9 2:4:0,31.01783294494947,41336031#8,22
2022-12-9 2:4:0,37.962413026752955,819585395#10,22
2022-12-9 2:4:0,54.25605643070702,28582639#3,22
2022-12-9 2:4:0,41.83192824756254,564577990#0,22
2022-12-9 2:5:0,41.908017584638245,858935315,25
2022-12-9 2:5:0,48.44462669911538,38071249#8,25
2022-12-9 2:5:0,43.592815706748475,906984715#1,25
2022-12-9 2:5:0,44.66003224750673,669890458#1,25
2022-12-9 2:5:0,49.967015628493044,29982808#3,25
2022-12-9 2:5:0,45.695600814111515,669890458#7,25
2022-12-9 2:5:0,55.84984239380609,894539276#0,25
2022-12-9 2:5:0,40.675410086907206,41669755#3,25
2022-12-9 2:5:0,57.51185705663092,38071762#0,25
2022-12-9 2:5:0,47.86576267478464,652088553#5,25
2022-12-9 2:5:0,45.1949054647628,28582639#9-AddedOnRampEdge,25
2022-12-9 2:5:0,49.315137511121264,38071249#0,25
2022-12-9 2:5:0,50.9390653646016,700675428,25
2022-12-9 2:5:0,38.428269140539804,858935315,25
2022-12-9 2:5:0,47.31462670361701,894550194#3,25
2022-12-9 2:5:0,25.218009431736192,32690591#1,25
2022-12-9 2:5:0,40.90253878837771,37099917#6,25
2022-12-9 2:5:0,45.49144986832644,652130052,25
2022-12-9 2:5:0,48.475190179754954,894550194#3,25
2022-12-9 2:5:0,51.30524193802075,858935302,25
2022-12-9 2:5:0,48.013000518538846,699913210,25
2022-12-9 2:5:0,31.67689699764115,41336031#12,25
2022-12-9 2:5:0,21.960745950086835,886672185,25
2022-12-9 2:5:0,51.63937639058035,:278876529_1,25
2022-12-9 2:5:0,48.897335726396406,850927453#4-AddedOffRampEdge,25
2022-12-9 2:6:0,39.94149387017222,858935309,30
2022-12-9 2:6:0,43.27188032344911,29909499#4-AddedOnRampEdge,30
2022-12-9 2:6:0,45.10951950452914,669890458#10-AddedOnRampEdge,30
2022-12-9 2:6:0,44.686236391777356,26285000#4,30
2022-12-9 2:6:0,46.616615190966634,-652088553#16,30
2022-12-9 2:6:0,47.083867831202205,669890458#18,30
2022-12-9 2:6:0,36.731390461151655,25746578#7,30
2022-12-9 2:6:0,51.352795339414854,217280783#1,30
2022-12-9 2:6:0,58.00243191668219,:cluster_314796298_314796350_314796427_4,30
2022-12-9 2:6:0,38.61487020973018,29909499#1,30
2022-12-9 2:6:0,42.50889485749286,32691357#1,30
2022-12-9 2:6:0,48.81704197109878,885610134#4,30
2022-12-9 2:6:0,52.89759998473576,700673538,30
2022-12-9 2:6:0,38.1342317611822,28641437#0,30
2022-12-9 2:6:0,52.609494328132286,671744652#5,30
2022-12-9 2:6:0,51.060931054834406,906984715#1-AddedOffRampEdge,30
2022-12-9 2:6:0,50.135341273364205,700673538,30
2022-12-9 2:6:0,48.636956205456016,700084841#3,30
2022-12-9 2:6:0,41.38413346311397,858935315,30
2022-12-9 2:6:0,50.15965651338225,26203214#1,30
2022-12-9 2:6:0,48.83704994154293,858915972#6,30
2022-12-9 2:6:0,45.2726035459756,-215628990#3,30
2022-12-9 2:6:0,46.47783671691732,650705746,30
2022-12-9 2:6:0,51.94816638495,652130052,30
2022-12-9 2:6:0,43.02383021775004,765656384#0,30
2022-12-9 2:6:0,33.19963554839355,890774197#1,30
2022-12-9 2:6:0,41.94920364981245,32692809#0,30
2022-12-9 2:6:0,44.59313174217926,859375452,30
2022-12-9 2:6:0,50.177181605179136,:284141728_2,30
2022-12-9 2:6:0,49.96590927383978,700673538,30
2022-12-9 2:7:0,40.211760960438795,765656381#3,30
2022-12-9 2:7:0,57.92169270631184,700074885#0-AddedOnRampEdge,30
2022-12-9 2:7:0,43.76903172757472,770590111#2,30
2022-12-9 2:7:0,47.65112989450497,32659640#0,30
2022-12-9 2:7:0,46.32372291766312,858935302,30
2022-12-9 2:7:0,44.29322613000685,32226001#2,30
2022-12-9 2:7:0,41.09527386249559,25584650#1,30
2022-12-9 2:7:0,53.2485979108775,700673538,30
2022-12-9 2:7:0,48.096016093295525,41336031#5,30
2022-12-9 2:7:0,40.416122258501424,-32692001#5,30
