dateandtime,spdK/m,edge,vehDen
2022-12-15 8:2:0,29.81298047591933,28495635#0,375
2022-12-15 8:2:0,50.348026189677725,885610137,375
2022-12-15 8:2:0,51.957286955742006,850839746,375
2022-12-15 8:2:0,46.28593343268058,-26195753#0,375
2022-12-15 8:2:0,20.486359414000983,178543139#0,375
2022-12-15 8:2:0,46.24357455474479,700084841#3,375
2022-12-15 8:2:0,44.60365138700644,939250978#0,375
2022-12-15 8:2:0,41.29604006711765,700084841#0,375
2022-12-15 8:2:0,48.531466701199385,-25746588#6,375
2022-12-15 8:2:0,45.843354595555546,25746632#3,375
2022-12-15 8:2:0,38.88758828999059,178336809#7,375
2022-12-15 8:2:0,59.541456260954355,939250966#9,375
2022-12-15 8:2:0,35.96528114468461,819585395#14-AddedOffRampEdge,375
2022-12-15 8:2:0,53.65634492049994,939250978#0,375
2022-12-15 8:2:0,41.29422624954182,564555056#0,375
2022-12-15 8:2:0,54.19573733645909,700084841#0,375
2022-12-15 8:2:0,51.80980487567283,217280772#4,375
2022-12-15 8:2:0,41.99762161318405,26520591#0,375
2022-12-15 8:2:0,36.77027507933995,:cluster_664906569_664906572_8279195451_1,375
2022-12-15 8:2:0,50.68983010591851,699651628#0,375
2022-12-15 8:2:0,44.547330517279526,894550196#0,375
2022-12-15 8:2:0,42.18914116349508,32659543#1,375
2022-12-15 8:2:0,51.54208354576242,24958252#0,375
2022-12-15 8:2:0,49.18756973771863,26203214#1,375
2022-12-15 8:2:0,54.35404487938894,32690631#4,375
2022-12-15 8:2:0,29.108292652433825,:cluster_278876649_6106950404_2,375
2022-12-15 8:2:0,46.56549359757758,178336794#0,375
2022-12-15 8:2:0,47.7860887614386,850927457,375
2022-12-15 8:2:0,54.65061502276563,765656381#1,375
2022-12-15 8:2:0,50.106908256481965,564555056#7,375
2022-12-15 8:2:0,38.02425292243132,885839350#0,375
2022-12-15 8:2:0,41.047459393793204,765656384#1,375
2022-12-15 8:2:0,48.3344643938541,906984715#1-AddedOffRampEdge,375
2022-12-15 8:2:0,41.51031612523779,215628998#2,375
2022-12-15 8:2:0,44.351523219241216,215628998#0,375
2022-12-15 8:2:0,47.21603019396741,28582639#13,375
2022-12-15 8:2:0,46.82491003899716,28582639#5,375
2022-12-15 8:2:0,43.01903159637661,768258462#0,375
2022-12-15 8:2:0,16.073814752207344,:701104139#6-AddedOffRampNode_0,375
2022-12-15 8:2:0,23.76718472264356,:4325415988_4,375
2022-12-15 8:2:0,46.14920336150842,939250966#10,375
2022-12-15 8:2:0,45.068799827059784,886672195,375
2022-12-15 8:2:0,7.830482150120662,24958252#0,375
2022-12-15 8:2:0,51.64689588768224,906984715#1-AddedOffRampEdge,375
2022-12-15 8:2:0,52.33812911039521,393878336#0,375
2022-12-15 8:2:0,39.970001333608764,52244427#10,375
2022-12-15 8:2:0,41.698874200842894,32690553#2,375
2022-12-15 8:2:0,37.481548762714866,28886503#6,375
2022-12-15 8:2:0,54.67888368317731,32690567#11,375
2022-12-15 8:2:0,45.23664724829231,700673538,375
2022-12-15 8:2:0,49.50375154487367,37711813#3,375
2022-12-15 8:2:0,48.13955730594916,29909499#1-AddedOnRampEdge,375
2022-12-15 8:2:0,45.53161274366606,-25746588#9,375
2022-12-15 8:2:0,43.943712458886445,:cluster_7937296083_8074011466_8074011468_0,375
2022-12-15 8:2:0,45.06335314209044,:4325417602_2,375
2022-12-15 8:2:0,40.83006240690128,-258633769#1,375
2022-12-15 8:2:0,47.71494733092444,32690553#2,375
2022-12-15 8:2:0,51.9552401951078,25746621#0,375
2022-12-15 8:2:0,45.26200176414393,26253959#2,375
2022-12-15 8:2:0,53.95683569642906,700673538,375
2022-12-15 8:2:0,45.44150852943309,700673538,375
2022-12-15 8:2:0,44.569891577495774,819585395#8,375
2022-12-15 8:2:0,37.90668840394592,234806527#0,375
2022-12-15 8:2:0,47.40874367116656,28582641#1,375
2022-12-15 8:2:0,50.085814517902406,669890458#7,375
2022-12-15 8:2:0,44.44132632706727,669890462#15,375
2022-12-15 8:2:0,50.32191600299133,:314796306_0,375
2022-12-15 8:2:0,55.018342438600264,772236620#9,375
2022-12-15 8:2:0,47.59417813939829,41669755#2,375
2022-12-15 8:2:0,48.41619463190639,883292352#1,375
2022-12-15 8:2:0,51.82674662405276,26203214#3-AddedOnRampEdge,375
2022-12-15 8:2:0,46.03451169140742,772236620#9,375
2022-12-15 8:2:0,43.052633027717775,:492502679_3,375
2022-12-15 8:2:0,44.71750993901825,772236620#6,375
2022-12-15 8:2:0,51.401548764893306,26203214#1,375
2022-12-15 8:2:0,39.996553212821965,700084841#3,375
2022-12-15 8:2:0,36.37402069068262,858935315,375
2022-12-15 8:2:0,46.951549798328124,26193439#2,375
2022-12-15 8:2:0,51.73414125300814,939250966#10,375
2022-12-15 8:2:0,41.04936600696575,26203719#1-AddedOffRampEdge,375
2022-12-15 8:2:0,40.570700201054144,939250966#10-AddedOnRampEdge,375
2022-12-15 8:2:0,6.310940727598688,:270749306_3,375
2022-12-15 8:2:0,47.94813588989175,858935302,375
2022-12-15 8:2:0,27.1953765910572,819202035,375
2022-12-15 8:2:0,44.50890166129424,:6572227332_2,375
2022-12-15 8:2:0,55.78990704542293,32690567#9,375
2022-12-15 8:2:0,48.314830790052476,26195744#1,375
2022-12-15 8:2:0,43.015449762308826,858935309,375
2022-12-15 8:2:0,47.137696134875675,25746638#5,375
2022-12-15 8:2:0,41.651059324881,:2509945673_0,375
2022-12-15 8:2:0,41.45581610492385,765656383#0,375
2022-12-15 8:2:0,48.786054195136124,939250966#0-AddedOffRampEdge,375
2022-12-15 8:2:0,47.09118531977074,859375452,375
2022-12-15 8:2:0,54.65091192463701,26729390#3,375
2022-12-15 8:2:0,49.93302160426109,284147370#0,375
2022-12-15 8:2:0,51.46205935621678,29982808#2,375
2022-12-15 8:2:0,51.016228749980236,940974902#0-AddedOffRampEdge,375
2022-12-15 8:2:0,44.496048941715095,-699921235#0,375
2022-12-15 8:2:0,39.55164002475081,52244427#6,375
2022-12-15 8:2:0,47.58957688091822,28495635#0,375
2022-12-15 8:2:0,33.097665673417346,28495635#0,375
2022-12-15 8:2:0,43.93121690097729,:7937296048_0,375
2022-12-15 8:2:0,34.07578559854348,564577984#2,375
2022-12-15 8:2:0,47.34646138413853,894550197#3-AddedOnRampEdge,375
2022-12-15 8:2:0,5.066333635747434,28581483,375
2022-12-15 8:2:0,49.25102370760958,819202034,375
2022-12-15 8:2:0,47.018057527746194,28582639#1,375
2022-12-15 8:2:0,48.525261432363685,37711813#3,375
2022-12-15 8:2:0,45.63572049454004,32690631#2,375
2022-12-15 8:2:0,51.59662782999843,700074885#9,375
2022-12-15 8:2:0,53.349279974945205,819202035,375
2022-12-15 8:2:0,42.43397012894261,26285000#4,375
2022-12-15 8:2:0,44.69240058325496,52244427#4,375
2022-12-15 8:2:0,55.14061781914653,28582639#5,375
2022-12-15 8:2:0,42.06084557475262,38071249#8,375
2022-12-15 8:2:0,47.49038763982907,28582639#5,375
2022-12-15 8:2:0,48.88833759669217,29982808#3-AddedOnRampEdge,375
2022-12-15 8:2:0,51.07178946950126,564577984#4,375
2022-12-15 8:2:0,53.63380810588597,28582639#11,375
2022-12-15 8:2:0,34.414014830066805,-32692001#2,375
2022-12-15 8:2:0,28.84619175260186,:492513790_0,375
2022-12-15 8:2:0,42.64064420936998,669890462#15,375
2022-12-15 8:2:0,39.82213359749428,25584538#0,375
2022-12-15 8:2:0,55.64500376747382,25584526#5,375
2022-12-15 8:2:0,42.64971262501606,-32691996#4,375
2022-12-15 8:2:0,46.79549709730737,32659640#2,375
2022-12-15 8:2:0,37.158900073179296,32659640#2,375
2022-12-15 8:2:0,49.78830780630938,25746572#6,375
2022-12-15 8:2:0,34.9262588876494,700673538,375
2022-12-15 8:2:0,33.324420389806626,:cluster_278875325_361382924_367219860_367220220_11,375
2022-12-15 8:2:0,17.630541673125702,32690620#3,375
2022-12-15 8:2:0,46.499346394246245,32692020#2,375
2022-12-15 8:2:0,54.87461929135998,564577984#4,375
2022-12-15 8:2:0,44.43206254580699,700673538,375
2022-12-15 8:2:0,42.04022922542395,52244427#10,375
2022-12-15 8:2:0,49.751069000396804,669890458#7,375
2022-12-15 8:2:0,17.208145697972725,:6572227434_7,375
2022-12-15 8:2:0,42.21000863459932,37099139#6,375
2022-12-15 8:2:0,48.93032402883393,-32692020#6,375
2022-12-15 8:2:0,44.869421347672514,:2349727142_0,375
2022-12-15 8:2:0,41.560756451732125,25746588#6,375
2022-12-15 8:2:0,28.48072510636406,37711813#3,375
