dateandtime,spdK/m,edge,vehDen
2022-12-20 0:2:0,50.10356250377455,700074885#23-AddedOffRampEdge,10
2022-12-20 0:2:0,45.642781333770415,:6570524675_0,10
2022-12-20 0:2:0,54.61719392067817,41336031#0,10
2022-12-20 0:2:0,57.20420213885276,819585395#1-AddedOnRampEdge,10
2022-12-20 0:2:0,48.74744450286502,858935302,10
2022-12-20 0:2:0,47.07091659412525,699863679#5,10
2022-12-20 0:2:0,20.503406959830723,:2349727143_1,10
2022-12-20 0:2:0,40.66112925962149,858935309,10
2022-12-20 0:2:0,43.67135960750308,-26195744#9,10
2022-12-20 0:2:0,41.67967100677806,652088553#11,10
2022-12-20 0:3:0,44.0804771526398,699691940#6-AddedOffRampEdge,5
2022-12-20 0:3:0,53.65468180995499,25746632#9,5
2022-12-20 0:3:0,50.48337506730581,652130052,5
2022-12-20 0:3:0,43.30951848065914,669890462#15,5
2022-12-20 0:3:0,44.11203325103572,947628159#3,5
2022-12-20 0:4:0,51.30579942399176,858915972#4-AddedOffRampEdge,3
2022-12-20 0:4:0,44.96077561294734,-659581751#0,3
2022-12-20 0:4:0,44.64038071139319,-28826000#5,3
