dateandtime,spdK/m,edge,vehDen
2022-12-14 4:2:0,57.17361891494725,-215628990#1,17
2022-12-14 4:2:0,47.146706785198646,699630259#1,17
2022-12-14 4:2:0,52.79436925122697,28641433#4,17
2022-12-14 4:2:0,55.58106215419145,28582639#5,17
2022-12-14 4:2:0,46.6691061317791,669890462#15-AddedOffRampEdge,17
2022-12-14 4:2:0,44.68099871810322,37711813#3,17
2022-12-14 4:2:0,43.28205013343364,772236620#21,17
2022-12-14 4:2:0,57.1467648205893,37099917#6,17
2022-12-14 4:2:0,53.623971284242,25746632#12,17
2022-12-14 4:2:0,44.24152557331253,701104139#6-AddedOffRampEdge,17
2022-12-14 4:2:0,47.910087298281354,35583983,17
2022-12-14 4:2:0,53.187391378371395,:6572611792_7,17
2022-12-14 4:2:0,46.6661268171781,25584525#2,17
2022-12-14 4:2:0,55.981975499307595,858935309,17
2022-12-14 4:2:0,51.4453342624999,700074885#3,17
2022-12-14 4:2:0,41.596634002267834,652130052,17
2022-12-14 4:2:0,41.2810516243857,939250965#0,17
2022-12-14 4:3:0,56.675727886489,-26203176#0,17
2022-12-14 4:3:0,46.798350645967176,41336031#10,17
2022-12-14 4:3:0,57.597733771148036,26195270#3,17
2022-12-14 4:3:0,46.17270965935296,25746572#2,17
2022-12-14 4:3:0,15.923480700133371,:2251061920_0,17
2022-12-14 4:3:0,44.21894526138698,858935315,17
2022-12-14 4:3:0,44.65373298278309,939250971,17
2022-12-14 4:3:0,19.174395688632355,671448858#0,17
2022-12-14 4:3:0,48.06420905805177,669890462#5,17
2022-12-14 4:3:0,38.16962197164142,37718132#2,17
2022-12-14 4:3:0,44.170117371651564,29982808#3-AddedOnRampEdge,17
2022-12-14 4:3:0,47.42437411373095,772236620#12,17
2022-12-14 4:3:0,54.148298322953636,28616951#1,17
2022-12-14 4:3:0,16.245586421415215,28664622#0,17
2022-12-14 4:3:0,51.594763395997084,652088553#5,17
2022-12-14 4:3:0,51.11059280225627,26285000#1,17
2022-12-14 4:3:0,39.00543434369888,:8006886546_1,17
2022-12-14 4:4:0,32.148184867124684,28582639#11,17
2022-12-14 4:4:0,41.68217419951818,:416998377_6,17
